teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate,AgeNow,yearSinceRetirement,retirementAge
FC Girondins Bordeaux,Madimoussa Traoré,11/06/1986,Centre-Forward,EF Bastia,02/08/2016,free transfer,01/07/2015,36,6,30
FC Girondins Bordeaux,Laurent Leroy,16/04/1976,Centre-Forward,Retired,01/07/2011,free transfer,01/07/2009,46,11,35
FC Girondins Bordeaux,Lilian Laslandes,04/09/1971,Centre-Forward,Retired,01/07/2008,?,04/01/2007,51,14,37
FC Girondins Bordeaux,Jean-Claude Darcheville,25/07/1975,Centre-Forward,Retired,01/07/2014,free transfer,01/07/2012,47,8,39
FC Girondins Bordeaux,Marouane Chamakh,10/01/1984,Centre-Forward,Retired,26/05/2019,-,29/12/2016,38,3,35
FC Girondins Bordeaux,Floyd Ayité,15/12/1988,Left Winger,Valenciennes FC,04/08/2021,?,02/09/2019,33,1,32
FC Girondins Bordeaux,Denílson,24/08/1977,Left Winger,Retired,24/03/2022,-,23/03/2022,45,0,45
FC Girondins Bordeaux,Juan Pablo Francia,03/12/1984,Attacking Midfield,Retired,01/07/2021,?,01/01/2016,37,1,36
FC Girondins Bordeaux,Vladimir Smicer,24/05/1973,Attacking Midfield,Retired,01/11/2009,free transfer,01/07/2007,49,13,36
FC Girondins Bordeaux,Alejandro Alonso,03/03/1982,Right Midfield,Retired,13/01/2013,€200Th.,31/01/2011,40,9,31
FC Girondins Bordeaux,Pierre Ducasse,07/05/1987,Defensive Midfield,Lège Cap-Ferret,01/07/2020,free transfer,04/07/2017,35,2,33
FC Girondins Bordeaux,Fernando,03/05/1981,Defensive Midfield,Retired,01/01/2015,free transfer,01/07/2014,41,7,34
FC Girondins Bordeaux,Rio Mavuba,08/03/1984,Defensive Midfield,Retired,01/07/2019,free transfer,14/09/2018,38,3,35
FC Girondins Bordeaux,Ted Lavie,19/03/1986,Right-Back,FC Libourne,01/07/2020,free transfer,01/07/2018,36,2,34
FC Girondins Bordeaux,David Jemmali,13/12/1974,Right-Back,Retired,06/07/2011,free transfer,29/07/2008,47,11,36
FC Girondins Bordeaux,Julien Faubert,01/08/1983,Right-Back,Retired,22/12/2019,-,01/07/2019,39,2,37
FC Girondins Bordeaux,Florian Marange,03/03/1986,Left-Back,Retired,15/10/2018,-,01/07/2017,36,4,32
FC Girondins Bordeaux,Franck Jurietti,30/03/1975,Left-Back,Retired,01/07/2010,free transfer,31/07/2003,47,12,35
FC Girondins Bordeaux,Kodjo Afanou,21/11/1977,Centre-Back,Retired,01/01/2008,-,01/01/2007,45,14,31
FC Girondins Bordeaux,Henrique,02/05/1983,Centre-Back,Retired,01/01/2017,-,25/08/2016,39,5,34
FC Girondins Bordeaux,Beto,03/05/1976,Centre-Back,Retired,01/07/2011,-,01/02/2011,46,11,35
FC Girondins Bordeaux,Marc Planus,07/03/1982,Centre-Back,Retired,01/07/2015,-,01/07/2002,40,7,33
FC Girondins Bordeaux,Ulrich Ramé,19/09/1972,Goalkeeper,Retired,01/07/2013,free transfer,01/07/2011,50,9,41
LOSC Lille,Nicolas Fauvergue,13/10/1984,Centre-Forward,Retired,01/07/2016,free transfer,31/08/2015,38,6,32
LOSC Lille,Matt Moussilou,01/06/1982,Centre-Forward,Retired,01/07/2021,free transfer,01/07/2017,40,1,39
LOSC Lille,Kevin Mirallas,05/10/1987,Right Winger,AEL Limassol,23/07/2022,-,24/01/2022,35,0,35
LOSC Lille,Samuel Robail,02/06/1985,Attacking Midfield,IC de Croix,01/07/2013,-,01/07/2009,37,9,28
LOSC Lille,Milenko Acimovic,15/02/1977,Left Midfield,Retired,14/09/2010,free transfer,31/01/2007,45,12,33
LOSC Lille,Yohan Cabaye,14/01/1986,Central Midfield,Retired,19/02/2021,-,01/07/2020,36,1,35
LOSC Lille,Stéphane Dumont,06/09/1982,Defensive Midfield,Retired,15/07/2013,free transfer,18/07/2011,40,9,31
LOSC Lille,Jean II Makoun,29/05/1983,Defensive Midfield,Retired,01/07/2020,-,27/09/2018,39,2,37
LOSC Lille,Mathieu Bodmer,22/11/1982,Defensive Midfield,Retired,01/07/2020,free transfer,01/07/2017,40,2,38
LOSC Lille,Stephan Lichtsteiner,16/01/1984,Right-Back,Retired,12/08/2020,free transfer,19/08/2019,38,2,36
LOSC Lille,Grégory Tafforeau,29/09/1976,Left-Back,Retired,01/12/2011,free transfer,01/07/2009,46,10,36
LOSC Lille,Dante,18/10/1983,Centre-Back,OGC Nice,23/08/2016,€4.50m,30/08/2015,39,6,33
LOSC Lille,Nicolas Plestan,02/06/1981,Centre-Back,Retired,01/07/2011,free transfer,01/08/2010,41,11,30
LOSC Lille,Mathieu Debuchy,28/07/1985,Centre-Back,Valenciennes FC,13/08/2021,free transfer,31/01/2018,37,1,36
LOSC Lille,Stathis Tavlaridis,25/01/1980,Centre-Back,Retired,01/07/2017,free transfer,31/01/2017,42,5,37
LOSC Lille,Rafael,17/12/1980,Centre-Back,Retired,01/05/2013,End of loan,01/11/2012,41,9,32
LOSC Lille,Laurent Pichon,08/03/1981,Goalkeeper,Retired,01/07/2010,-,01/07/2008,41,12,29
LOSC Lille,Grégory Malicki,23/11/1973,Goalkeeper,Retired,01/07/2014,free transfer,01/07/2010,49,8,41
LOSC Lille,Tony Sylva,17/05/1975,Goalkeeper,Retired,01/07/2010,€600Th.,01/07/2008,47,12,35
Stade Rennais FC,Moussa Sow,19/01/1986,Centre-Forward,Without Club,01/07/2021,-,28/08/2020,36,1,35
Stade Rennais FC,Jimmy Briand,02/08/1985,Centre-Forward,Retired,07/09/2022,-,01/07/2022,37,0,37
Stade Rennais FC,Youssouf Hadji,25/02/1980,Centre-Forward,Retired,01/07/2018,-,01/07/2014,42,4,38
Stade Rennais FC,Alex Frei,15/07/1979,Centre-Forward,Retired,14/04/2013,€4.25m,18/07/2009,43,9,34
Stade Rennais FC,Stéphane N'Guéma,20/11/1984,Right Winger,Retired,01/07/2017,?,01/01/2015,38,5,33
Stade Rennais FC,Cédric Barbosa,06/03/1976,Left Winger,Retired,01/07/2019,free transfer,25/09/2018,46,3,43
Stade Rennais FC,Olivier Monterrubio,08/08/1976,Left Winger,Retired,01/07/2011,free transfer,01/07/2009,46,11,35
Stade Rennais FC,Étienne Didot,24/07/1983,Central Midfield,Retired,01/07/2019,?,01/07/2016,39,3,36
Stade Rennais FC,Kim Källström,24/08/1982,Central Midfield,Retired,15/12/2017,free transfer,10/02/2017,40,4,36
Stade Rennais FC,Pape Diop,19/03/1986,Defensive Midfield,UD Ibiza,20/08/2021,free transfer,01/01/2018,36,1,35
Stade Rennais FC,Jonathan Bru,02/05/1985,Defensive Midfield,Retired,01/07/2016,-,02/02/2016,37,6,31
Stade Rennais FC,Arnold Mvuemba,28/01/1985,Defensive Midfield,Without Club,01/07/2020,-,07/11/2019,37,2,35
Stade Rennais FC,Stéphane Mbia,20/05/1986,Defensive Midfield,Without Club,25/04/2022,free transfer,02/02/2022,36,0,36
Stade Rennais FC,Alain Rochat,01/02/1983,Centre-Back,Retired,01/07/2018,?,01/07/2017,39,4,35
Stade Rennais FC,Jacques Faty,25/02/1984,Centre-Back,Retired,01/07/2017,free transfer,01/07/2016,38,5,33
Stade Rennais FC,John Mensah,29/11/1982,Centre-Back,Retired,01/01/2017,-,04/03/2016,39,5,34
Stade Rennais FC,Adailton,14/04/1983,Centre-Back,Retired,01/03/2017,-,09/02/2016,39,5,34
Stade Rennais FC,Cheick N'Diaye,15/02/1985,Goalkeeper,Stade Briochin,01/07/2016,-,01/07/2015,37,6,31
Stade Rennais FC,Andreas Isaksson,03/10/1981,Goalkeeper,Retired,01/01/2019,?,11/08/2016,41,3,38
Paris Saint-Germain,Carlos Bueno,10/05/1980,Centre-Forward,Wanderers FC,01/09/2021,-,01/01/2020,42,1,41
Paris Saint-Germain,Pauleta,28/04/1973,Centre-Forward,Retired,01/07/2011,-,01/07/2010,49,11,38
Paris Saint-Germain,Franck Dja Djédjé,02/06/1986,Right Winger,Cap d'Ail,01/07/2022,free transfer,01/01/2021,36,0,36
Paris Saint-Germain,Fabrice Pancrate,02/05/1980,Right Winger,Retired,01/07/2014,free transfer,18/07/2011,42,8,34
Paris Saint-Germain,Bonaventure Kalou,12/01/1978,Right Winger,Retired,01/01/2010,-,01/07/2008,44,12,32
Paris Saint-Germain,Jérôme Rothen,31/03/1978,Left Midfield,Retired,16/10/2013,free transfer,08/07/2013,44,9,35
Paris Saint-Germain,Cristian Rodríguez,30/09/1985,Central Midfield,Plaza Colonia,16/04/2021,free transfer,01/02/2017,37,1,36
Paris Saint-Germain,Sergey Semak,27/02/1976,Central Midfield,Retired,01/07/2013,€2.00m,01/08/2010,46,9,37
Paris Saint-Germain,Vikash Dhorasoo,10/10/1973,Central Midfield,Retired,11/01/2008,-,31/10/2007,49,14,35
Paris Saint-Germain,Christophe Landrin,30/06/1977,Central Midfield,Retired,06/08/2012,free transfer,05/07/2011,45,10,35
Paris Saint-Germain,Clément Chantôme,11/09/1987,Defensive Midfield,C'Chartres,16/01/2022,-,08/01/2020,35,0,35
Paris Saint-Germain,Hocine Ragued,11/02/1983,Defensive Midfield,Retired,01/07/2017,free transfer,29/07/2016,39,5,34
Paris Saint-Germain,Édouard Cissé,30/03/1978,Defensive Midfield,Retired,01/07/2012,free transfer,01/08/2011,44,10,34
Paris Saint-Germain,Lorik Cana,27/07/1983,Defensive Midfield,Retired,08/04/2017,-,30/08/2016,39,5,34
Paris Saint-Germain,Stéphane Pichot,02/09/1976,Right-Back,Retired,01/07/2014,free transfer,01/07/2011,46,8,38
Paris Saint-Germain,Bernard Mendy,20/08/1981,Right-Back,Retired,01/01/2017,?,12/07/2016,41,5,36
Paris Saint-Germain,Boukary Dramé,22/07/1985,Left-Back,Valcalepio,24/12/2021,-,01/07/2020,37,0,37
Paris Saint-Germain,Sylvain Armand,01/08/1980,Left-Back,Retired,01/07/2017,free transfer,01/07/2013,42,5,37
Paris Saint-Germain,Ahmed Kantari,28/06/1985,Centre-Back,Retired,28/01/2019,-,01/07/2016,37,3,34
Paris Saint-Germain,Mario Yepes,13/01/1976,Centre-Back,Retired,01/01/2016,-,12/09/2014,46,6,40
Paris Saint-Germain,Jérôme Alonzo,20/11/1972,Goalkeeper,Retired,01/07/2010,free transfer,01/07/2008,50,12,38
Paris Saint-Germain,Lionel Létizi,28/05/1973,Goalkeeper,Retired,01/07/2011,free transfer,01/01/2007,49,11,38
Olympique Marseille,Christian Giménez,13/11/1974,Centre-Forward,Retired,01/07/2009,free transfer,13/02/2009,48,13,35
Olympique Marseille,Andrés Mendoza,28/04/1978,Centre-Forward,Retired,01/01/2015,free transfer,08/01/2014,44,7,37
Olympique Marseille,Koke,27/04/1983,Centre-Forward,Retired,04/09/2017,-,04/08/2016,39,5,34
Olympique Marseille,Mamadou Niang,13/10/1979,Centre-Forward,Retired,01/09/2018,-,01/07/2018,43,4,39
Olympique Marseille,Rahmane Barry,30/08/1986,Second Striker,Montagnarde,01/07/2012,free transfer,01/07/2011,36,10,26
Olympique Marseille,Franck Ribéry,07/04/1983,Left Winger,Retired,21/10/2022,-,06/09/2021,39,0,39
Olympique Marseille,Salomon Olembé,08/12/1980,Left Midfield,Retired,01/07/2010,free transfer,01/01/2010,41,12,29
Olympique Marseille,Anthony Flachi,06/02/1986,Central Midfield,Unknown,01/07/2012,free transfer,01/07/2010,36,10,26
Olympique Marseille,Sabri Lamouchi,09/11/1971,Central Midfield,Retired,01/07/2009,free transfer,31/01/2009,51,13,38
Olympique Marseille,Sylvain N'Diaye,25/06/1976,Defensive Midfield,Retired,01/07/2011,free transfer,01/07/2010,46,11,35
Olympique Marseille,Koji Nakata,09/07/1979,Defensive Midfield,Retired,01/01/2015,free transfer,01/07/2008,43,7,36
Olympique Marseille,Garry Bocaly,19/04/1988,Right-Back,L'Aiglon,01/07/2018,-,01/07/2015,34,4,30
Olympique Marseille,Marek Amiri,24/02/1987,Left-Back,Endoume,01/07/2020,-,01/07/2018,35,2,33
Olympique Marseille,Fabrice Begeorgi,20/04/1987,Left-Back,Without Club,01/07/2022,free transfer,01/07/2021,35,0,35
Olympique Marseille,Taye Taiwo,16/04/1985,Left-Back,Without Club,01/06/2022,free transfer,01/01/2022,37,0,37
Olympique Marseille,Alexis Pradie,21/01/1987,Centre-Back,GPS Portland,01/02/2011,free transfer,01/01/2011,35,11,24
Olympique Marseille,Medhi Benatia,17/04/1987,Centre-Back,Retired,18/11/2021,free transfer,03/08/2021,35,1,34
Olympique Marseille,Bostjan Cesar,09/07/1982,Centre-Back,Retired,01/07/2020,free transfer,01/07/2010,40,2,38
Olympique Marseille,Frédéric Déhu,24/10/1972,Centre-Back,Retired,01/07/2007,free transfer,05/07/2006,50,15,35
Olympique Marseille,Abdoulaye Méïté,06/10/1980,Centre-Back,Retired,01/07/2018,-,14/11/2017,42,4,38
Olympique Marseille,Raïs M'Bolhi,25/04/1986,Goalkeeper,Al-Qadsiah FC,08/09/2022,-,01/07/2022,36,0,36
Olympique Marseille,Jérémy Gavanon,20/09/1983,Goalkeeper,Retired,01/07/2014,free transfer,01/07/2009,39,8,31
Olympique Marseille,Cédric Carrasso,30/12/1981,Goalkeeper,Retired,01/07/2018,free transfer,08/09/2017,40,4,36
Olympique Marseille,Fabien Barthez,28/06/1971,Goalkeeper,Retired,29/04/2007,-,17/12/2006,51,15,36
AS Monaco,David Gigliotti,30/05/1985,Centre-Forward,Istres FC,05/12/2021,free transfer,01/07/2021,37,0,37
AS Monaco,Javier Chevantón,12/08/1980,Centre-Forward,Retired,01/07/2014,free transfer,01/01/2014,42,8,34
AS Monaco,Christian Vieri,12/07/1973,Centre-Forward,Retired,01/04/2009,free transfer,01/07/2008,49,13,36
AS Monaco,Emmanuel Adebayor,26/02/1984,Centre-Forward,AC Semassi FC,01/07/2021,-,01/07/2020,38,1,37
AS Monaco,Serge Gakpé,07/05/1987,Right Winger,Karmiotissa,02/09/2021,free transfer,01/07/2019,35,1,34
AS Monaco,Olivier Kapo,27/09/1980,Attacking Midfield,Retired,01/07/2015,free transfer,15/08/2014,42,7,35
AS Monaco,Camel Meriem,18/10/1979,Attacking Midfield,Retired,01/07/2015,free transfer,01/09/2013,43,7,36
AS Monaco,Nicolas Maurice-Belay,19/04/1985,Left Midfield,Retired,30/10/2019,-,31/01/2019,37,3,34
AS Monaco,Jaroslav Plasil,05/01/1982,Central Midfield,Retired,04/07/2019,End of loan,30/06/2014,40,3,37
AS Monaco,Gerard López,12/03/1979,Central Midfield,Retired,01/07/2011,-,01/02/2009,43,11,32
AS Monaco,Marko Muslin,17/06/1985,Defensive Midfield,Retired,01/07/2021,free transfer,01/07/2019,37,1,36
AS Monaco,Diego Pérez,18/05/1980,Defensive Midfield,Retired,01/07/2015,€2.00m,31/08/2010,42,7,35
AS Monaco,Akis Zikos,01/06/1974,Defensive Midfield,Retired,01/07/2008,free transfer,01/07/2006,48,14,34
AS Monaco,Éric Cubilier,09/08/1979,Right-Back,Retired,01/07/2011,-,01/07/2010,43,11,32
AS Monaco,Maicon,26/07/1981,Right-Back,Retired,16/07/2021,-,16/07/2021,41,1,40
AS Monaco,Patrice Evra,15/05/1981,Left-Back,Retired,29/07/2019,-,31/05/2018,41,3,38
AS Monaco,François Modesto,19/08/1978,Centre-Back,Retired,01/07/2016,free transfer,01/07/2013,44,6,38
AS Monaco,Julien Rodriguez,11/06/1978,Centre-Back,Retired,01/12/2011,free transfer,01/01/2007,44,10,34
AS Monaco,Gaël Givet,09/10/1981,Centre-Back,Retired,01/07/2016,free transfer,04/09/2015,41,6,35
AS Monaco,Sébastien Squillaci,11/08/1980,Centre-Back,Retired,19/08/2017,free transfer,16/07/2013,42,5,37
AS Monaco,Guillaume Warmuz,22/05/1970,Goalkeeper,Retired,01/07/2007,free transfer,01/07/2005,52,15,37
AS Monaco,Flavio Roma,21/06/1974,Goalkeeper,Retired,01/07/2014,free transfer,02/08/2012,48,8,40
Olympique Lyon,Karim Benzema,19/12/1987,Centre-Forward,Real Madrid,09/07/2009,-,01/07/2005,34,13,21
Olympique Lyon,Nilmar,14/07/1984,Centre-Forward,Retired,13/12/2017,free transfer,10/07/2017,38,4,34
Olympique Lyon,Fred,03/10/1983,Centre-Forward,Retired,09/07/2022,?,05/06/2020,39,0,39
Olympique Lyon,Sidney Govou,27/07/1979,Right Winger,Retired,01/07/2017,free transfer,03/08/2015,43,5,38
Olympique Lyon,Florent Malouda,13/06/1980,Left Winger,Retired,01/07/2018,-,25/01/2018,42,4,38
Olympique Lyon,Juninho Pernambucano,30/01/1975,Attacking Midfield,Retired,29/01/2014,free transfer,11/07/2013,47,8,39
Olympique Lyon,Tiago Mendes,02/05/1981,Central Midfield,Retired,14/07/2017,free transfer,20/07/2011,41,5,36
Olympique Lyon,Mahamadou Diarra,18/05/1981,Defensive Midfield,Retired,01/07/2014,-,26/03/2014,41,8,33
Olympique Lyon,Anthony Réveillère,10/11/1979,Right-Back,Retired,09/11/2015,-,01/07/2015,43,7,36
Olympique Lyon,Jérémy Berthod,24/04/1984,Left-Back,Retired,20/03/2015,-,04/02/2013,38,7,31
Olympique Lyon,Éric Abidal,11/09/1979,Left-Back,Retired,01/01/2015,free transfer,05/07/2014,43,7,36
Olympique Lyon,Lamine Diatta,02/07/1975,Centre-Back,Retired,01/07/2012,-,01/12/2011,47,10,37
Olympique Lyon,Sylvain Monsoreau,20/03/1981,Centre-Back,Retired,01/07/2017,free transfer,14/07/2016,41,5,36
Olympique Lyon,Patrick Müller,17/12/1976,Centre-Back,Retired,01/07/2010,free transfer,31/08/2008,45,12,33
Olympique Lyon,Caçapa,29/05/1976,Centre-Back,Retired,01/01/2012,free transfer,01/07/2011,46,10,36
Olympique Lyon,Cris,03/06/1977,Centre-Back,Retired,01/01/2014,free transfer,01/08/2013,45,8,37
Olympique Lyon,Joan Hartock,17/02/1987,Goalkeeper,Fougères,01/07/2022,-,27/08/2021,35,0,35
Olympique Lyon,Rémy Riou,06/08/1987,Goalkeeper,Olympique Lyon,01/07/2022,?,07/08/2019,35,0,35
Olympique Lyon,Rémy Vercoutre,26/06/1980,Goalkeeper,Retired,01/07/2018,free transfer,01/07/2014,42,4,38
Olympique Lyon,Grégory Coupet,31/12/1972,Goalkeeper,Retired,01/07/2011,€800Th.,01/07/2009,49,11,38
MSV Duisburg,Abdelaziz Ahanfouf,14/01/1978,Centre-Forward,Retired,01/01/2016,free transfer,01/07/2015,44,6,38
MSV Duisburg,Klemen Lavric,12/06/1981,Centre-Forward,Retired,01/07/2014,-,15/10/2013,41,8,33
MSV Duisburg,Kai Michalke,05/04/1976,Left Winger,Retired,01/08/2009,-,01/07/2009,46,13,33
MSV Duisburg,Niklas Stegmann,02/07/1987,Attacking Midfield,Retired,01/07/2012,free transfer,01/07/2011,35,10,25
MSV Duisburg,Dirk Lottner,04/03/1972,Attacking Midfield,Retired,01/07/2007,free transfer,01/07/2006,50,15,35
MSV Duisburg,Mike Rietpietsch,26/03/1974,Right Midfield,Retired,01/07/2012,-,01/04/2011,48,10,38
MSV Duisburg,Markus Anfang,12/06/1974,Central Midfield,Retired,01/07/2010,free transfer,10/01/2009,48,12,36
MSV Duisburg,Markus Hausweiler,15/04/1976,Defensive Midfield,Retired,01/07/2007,free transfer,01/07/2005,46,15,31
MSV Duisburg,Adam Bodzek,07/09/1985,Defensive Midfield,Düsseldorf II,01/07/2022,€250Th.,01/01/2011,37,0,37
MSV Duisburg,Andreas Voss,27/02/1979,Defensive Midfield,Retired,01/07/2014,-,01/01/2012,43,8,35
MSV Duisburg,Ivica Grlic,06/08/1975,Defensive Midfield,Retired,01/10/2011,free transfer,01/07/2004,47,11,36
MSV Duisburg,Razundara Tjikuzu,12/12/1979,Defensive Midfield,SK W'hoek,01/10/2015,-,01/01/2015,42,7,35
MSV Duisburg,Mihai Tararache,25/10/1977,Defensive Midfield,Retired,01/11/2011,-,01/07/2011,45,11,34
MSV Duisburg,Carsten Wolters,25/07/1969,Right-Back,Retired,01/07/2015,-,01/07/2009,53,7,46
MSV Duisburg,Tobias Willi,14/12/1979,Right-Back,Retired,31/03/2010,free transfer,01/07/2005,42,12,30
MSV Duisburg,Alexander Bugera,08/08/1978,Left-Back,Retired,01/07/2015,-,01/07/2013,44,7,37
MSV Duisburg,Oliver Rademacher,06/01/1987,Centre-Back,SV Heißen III,01/07/2019,free transfer,01/07/2016,35,3,32
MSV Duisburg,Necat Aygün,26/02/1980,Centre-Back,Retired,01/07/2014,-,01/07/2013,42,8,34
MSV Duisburg,Marco Caligiuri,14/04/1984,Centre-Back,Retired,01/07/2020,free transfer,22/08/2014,38,2,36
MSV Duisburg,Marino Biliskov,17/03/1976,Centre-Back,Retired,01/07/2013,€200Th.,19/01/2011,46,9,37
MSV Duisburg,André Poggenborg,17/09/1983,Goalkeeper,Retired,01/07/2019,free transfer,01/07/2012,39,3,36
MSV Duisburg,Sven Beuckert,12/12/1973,Goalkeeper,Retired,01/07/2009,free transfer,01/07/2003,48,13,35
Arminia Bielefeld,Artur Wichniarek,28/02/1977,Centre-Forward,Retired,01/07/2011,free transfer,01/01/2011,45,11,34
Arminia Bielefeld,Sibusiso Zuma,23/06/1975,Centre-Forward,Retired,18/02/2015,-,01/07/2014,47,7,40
Arminia Bielefeld,Julian Loose,17/05/1985,Right Winger,SC Greven 09,15/01/2017,free transfer,01/07/2014,37,5,32
Arminia Bielefeld,Diego León,16/01/1984,Attacking Midfield,Retired,01/07/2017,free transfer,01/08/2016,38,5,33
Arminia Bielefeld,Fatmir Vata,19/09/1971,Attacking Midfield,Retired,01/07/2014,-,26/10/2013,51,8,43
Arminia Bielefeld,Nebojsa Krupnikovic,15/08/1973,Attacking Midfield,Retired,01/07/2008,-,01/01/2007,49,14,35
Arminia Bielefeld,Roberto Pinto,22/08/1978,Right Midfield,Retired,01/07/2014,-,26/01/2013,44,8,36
Arminia Bielefeld,Kamil Vacek,18/05/1987,Central Midfield,Pardubice,26/01/2022,free transfer,01/07/2019,35,0,35
Arminia Bielefeld,Massimilian Porcello,23/06/1980,Central Midfield,Retired,01/07/2013,free transfer,01/07/2011,42,9,33
Arminia Bielefeld,David Kobylik,27/06/1981,Central Midfield,Retired,01/07/2015,?,01/01/2015,41,7,34
Arminia Bielefeld,Oliver Zech,31/01/1987,Defensive Midfield,SC Wiedenbrück,24/08/2012,free transfer,01/01/2012,35,10,25
Arminia Bielefeld,Vanco Trajanov,09/08/1978,Defensive Midfield,Atletik Kuklen,01/02/2022,-,30/06/2018,44,0,44
Arminia Bielefeld,Rüdiger Kauf,01/03/1975,Defensive Midfield,Retired,01/07/2011,€300Th.,01/07/2001,47,11,36
Arminia Bielefeld,Christian Schwegler,06/06/1984,Right-Back,Retired,01/07/2021,free transfer,01/07/2017,38,1,37
Arminia Bielefeld,Bernd Korzynietz,08/09/1979,Right-Back,Retired,01/07/2010,free transfer,01/01/2009,43,12,31
Arminia Bielefeld,Markus Schuler,01/08/1977,Left-Back,Retired,30/06/2018,-,10/09/2017,45,4,41
Arminia Bielefeld,Radim Kucera,01/03/1974,Centre-Back,Retired,01/07/2012,free transfer,01/07/2010,48,10,38
Arminia Bielefeld,Márcio Borges,20/01/1973,Centre-Back,Retired,01/09/2007,€100Th.,01/07/1999,49,15,34
Arminia Bielefeld,Michael Fink,01/02/1982,Centre-Back,FC Gießen,01/01/2021,free transfer,01/07/2019,40,1,39
Arminia Bielefeld,Heiko Westermann,14/08/1983,Centre-Back,Retired,28/04/2018,free transfer,03/07/2017,39,4,35
Arminia Bielefeld,Dennis Eilhoff,31/07/1982,Goalkeeper,Retired,01/07/2012,free transfer,01/07/2011,40,10,30
Arminia Bielefeld,Mathias Hain,31/12/1972,Goalkeeper,Retired,01/07/2011,free transfer,01/07/2008,49,11,38
1.FC Kaiserslautern,Carsten Jancker,28/08/1974,Centre-Forward,Retired,01/07/2010,free transfer,01/01/2007,48,12,36
1.FC Kaiserslautern,Sebastian Reinert,20/04/1987,Attacking Midfield,SF Bundenthal,01/07/2020,free transfer,01/07/2018,35,2,33
1.FC Kaiserslautern,Axel Bellinghausen,17/05/1983,Left Midfield,SC Unterbach,01/07/2021,-,01/07/2018,39,1,38
1.FC Kaiserslautern,Kamil Kosowski,30/08/1977,Left Midfield,Retired,01/07/2013,free transfer,12/01/2013,45,9,36
1.FC Kaiserslautern,Mihael Mikic,06/01/1980,Right Midfield,Retired,01/01/2019,free transfer,01/01/2018,42,3,39
1.FC Kaiserslautern,Ciriaco Sforza,02/03/1970,Central Midfield,Retired,01/07/2006,free transfer,12/08/2002,52,16,36
1.FC Kaiserslautern,Christian Nerlinger,21/03/1973,Defensive Midfield,Retired,22/12/2005,free transfer,01/07/2004,49,16,33
1.FC Kaiserslautern,Daniel Damm,02/12/1981,Defensive Midfield,Retired,01/02/2010,free transfer,01/10/2009,40,12,28
1.FC Kaiserslautern,Michael Lehmann,16/10/1984,Defensive Midfield,Retired,01/07/2015,free transfer,01/07/2010,38,7,31
1.FC Kaiserslautern,Balazs Borbely,02/10/1979,Defensive Midfield,Retired,01/07/2014,?,05/03/2013,43,8,35
1.FC Kaiserslautern,Jon Inge Höiland,20/09/1977,Right-Back,Retired,01/01/2015,free transfer,01/01/2014,45,7,38
1.FC Kaiserslautern,Marcelo Pletsch,13/05/1976,Centre-Back,Retired,01/05/2011,-,01/01/2011,46,11,35
1.FC Kaiserslautern,Ingo Hertzsch,22/07/1977,Centre-Back,Retired,01/07/2013,-,01/07/2011,45,9,36
1.FC Kaiserslautern,Lucién Mettomo,19/04/1977,Centre-Back,Retired,01/07/2009,free transfer,01/01/2008,45,13,32
1.FC Kaiserslautern,Fabian Schönheim,14/02/1987,Centre-Back,Retired,26/08/2020,-,01/07/2019,35,2,33
1.FC Kaiserslautern,Hervé Nzelo-Lembi,25/08/1975,Centre-Back,Retired,01/07/2009,free transfer,01/07/2007,47,13,34
1.FC Kaiserslautern,Thomas Ernst,23/12/1967,Goalkeeper,Retired,01/07/2006,free transfer,01/07/2003,54,16,38
1.FC Kaiserslautern,Andreas Clauß,13/01/1969,Goalkeeper,Retired,01/07/2011,-,01/08/2010,53,11,42
1.FC Kaiserslautern,Jürgen Macho,24/08/1977,Goalkeeper,Retired,03/09/2014,-,01/07/2013,45,8,37
1.FSV Mainz 05,Tobias Damm,30/10/1983,Centre-Forward,Retired,01/07/2020,-,01/07/2018,39,2,37
1.FSV Mainz 05,Ranisav Jovanovic,05/11/1980,Centre-Forward,Retired,01/07/2017,free transfer,01/07/2016,42,5,37
1.FSV Mainz 05,Conor Casey,25/07/1981,Centre-Forward,Retired,01/01/2017,free transfer,26/01/2016,41,5,36
1.FSV Mainz 05,Michael Thurk,28/05/1976,Centre-Forward,Retired,01/07/2022,-,11/06/2022,46,0,46
1.FSV Mainz 05,Petr Ruman,02/11/1976,Attacking Midfield,Retired,01/07/2009,free transfer,01/01/2009,46,13,33
1.FSV Mainz 05,Dennis Weiland,30/08/1974,Left Midfield,Retired,01/01/2010,free transfer,01/07/2009,48,12,36
1.FSV Mainz 05,Fatmir Pupalovic,10/04/1985,Right Midfield,Retired,01/07/2017,-,01/01/2017,37,5,32
1.FSV Mainz 05,Fabian Gerber,28/11/1979,Right Midfield,Retired,01/07/2013,free transfer,01/07/2009,43,9,34
1.FSV Mainz 05,Damir Vrancic,04/10/1985,Central Midfield,Braunschweig II,29/07/2022,-,12/10/2016,37,0,37
1.FSV Mainz 05,Milorad Pekovic,05/08/1977,Defensive Midfield,Retired,01/07/2015,free transfer,11/07/2014,45,7,38
1.FSV Mainz 05,Henning Lichte,13/10/1984,Right-Back,Retired,01/01/2017,free transfer,01/07/2010,38,5,33
