playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
David Silva,Attacking Midfield,Real Sociedad,€28.75m,34,10
Fabián Canobbio,Attacking Midfield,Retired,free transfer,35,2
Jonathan Aspas,Central Midfield,Retired,-,39,1
Everton Giovanella,Central Midfield,Retired,€4.20m,36,7
Iriney,Central Midfield,Retired,End of loan,33,0
Jorge Larena,Central Midfield,Retired,free transfer,38,5
Roberto Sousa,Defensive Midfield,Retired,-,32,1
Borja Oubiña,Defensive Midfield,Retired,End of loan,33,7
José Enrique,Left-Back,Retired,-,31,1
Diego Placente,Left-Back,Retired,free transfer,36,1
Yago Yao,Centre-Back,Retired,free transfer,36,1
Sebastián Méndez,Centre-Back,Retired,free transfer,33,1
Matías Lequi,Centre-Back,Retired,?,36,1
Sergio Fernández,Centre-Back,Retired,free transfer,35,0
José Manuel Pinto,Goalkeeper,Retired,free transfer,39,6
Esteban,Goalkeeper,Retired,free transfer,42,3
Imanol Agirretxe,Centre-Forward,Retired,-,31,10
Óscar de Paula,Centre-Forward,Retired,free transfer,36,4
Darko Kovacevic,Centre-Forward,Retired,free transfer,36,2
Nihat Kahveci,Centre-Forward,Retired,-,33,1
Oskitz Estefanía,Left Winger,Retired,free transfer,31,2
Gari Uranga,Attacking Midfield,Retired,free transfer,30,2
José Javier Barkero,Attacking Midfield,Retired,free transfer,35,1
Igor Gabilondo,Left Midfield,Retired,free transfer,34,1
Álvaro Novo,Right Midfield,Retired,?,30,3
Xabi Prieto,Central Midfield,Retired,-,35,15
Gaizka Garitano,Defensive Midfield,Retired,free transfer,34,1
Mikel Aranburu,Defensive Midfield,Retired,-,33,16
Jhon Viáfara,Defensive Midfield,Retired,?,37,0
Aitor López Rekarte,Right-Back,Retired,-,34,0
Javier Garrido,Left-Back,Retired,-,35,2
Mikel González,Centre-Back,AEK Larnaca,free transfer,33,1
Daniel Cifuentes,Centre-Back,Tomares,free transfer,41,1
Mikel Labaka,Centre-Back,Retired,free transfer,33,2
Ion Ansotegi,Centre-Back,Retired,free transfer,35,1
Igor Jauregi,Centre-Back,Retired,End of loan,33,5
Jérémie Bréchet,Centre-Back,Retired,free transfer,39,4
Alberto López,Goalkeeper,Retired,free transfer,40,3
Asier Riesgo,Goalkeeper,CD Leganés,free transfer,37,1
Ferrán Corominas,Centre-Forward,Without Club,free transfer,38,1
Jonathan Soriano,Centre-Forward,Retired,-,36,0
Walter Pandiani,Centre-Forward,Retired,-,40,1
Raúl Tamudo,Centre-Forward,Retired,free transfer,38,2
Martín Posse,Right Winger,Retired,?,32,0
Iván de la Peña,Attacking Midfield,Retired,free transfer,35,8
Toni Velamazán,Right Midfield,Retired,free transfer,34,4
Miki Martínez,Central Midfield,Retired,free transfer,32,1
Ito,Central Midfield,Retired,free transfer,35,1
Luis García,Central Midfield,Retired,?,38,5
Àngel Morales,Defensive Midfield,Retired,free transfer,34,2
Moisés Hurtado,Defensive Midfield,Retired,?,33,1
Frédson,Defensive Midfield,Retired,free transfer,31,0
Eduardo Costa,Defensive Midfield,Retired,free transfer,33,2
Pablo Zabaleta,Right-Back,Retired,free transfer,35,3
Juanfran Torres,Right-Back,Retired,free transfer,36,2
David García,Left-Back,Retired,free transfer,34,4
Didier Domi,Left-Back,Retired,-,33,0
Miquel Robusté,Centre-Back,Vilassar de Mar,free transfer,37,6
Sergio Sánchez,Centre-Back,Retired,-,34,0
Alberto Lopo,Centre-Back,Retired,-,38,0
Mauricio Pochettino,Centre-Back,Retired,?,34,2
Gorka Iraizoz,Goalkeeper,Retired,free transfer,38,2
Biel Ribas,Goalkeeper,CF Talavera,-,36,0
Carlos Kameni,Goalkeeper,UE Santa Coloma,-,38,1
Sergio García,Centre-Forward,Retired,-,38,1
Diego Milito,Centre-Forward,Retired,free transfer,37,2
Ángel Lafita,Left Winger,Retired,-,34,1
Sávio,Left Winger,Retired,-,36,0
Óscar González,Attacking Midfield,Retired,free transfer,34,6
Cani,Attacking Midfield,Retired,free transfer,36,1
Corona,Central Midfield,Retired,free transfer,36,1
Alberto Zapater,Defensive Midfield,Real Zaragoza,-,31,2
Leonardo Ponzio,Defensive Midfield,Retired,free transfer,40,10
José María Movilla,Defensive Midfield,Retired,free transfer,39,2
Carlos Cuartero,Right-Back,Retired,-,34,17
Agustín Aranzabal,Left-Back,Retired,€800Th.,34,3
Chus Herrero,Centre-Back,CD Brea,-,38,2
Álvaro,Centre-Back,Tricordiano-MG,?,41,1
Gabriel Milito,Centre-Back,Retired,free transfer,32,1
Miguel Martínez,Goalkeeper,Calahorra,free transfer,40,1
César Sánchez,Goalkeeper,Retired,free transfer,41,1
Diego Forlán,Centre-Forward,Retired,-,40,1
Antonio Guayre,Right Winger,Retired,-,33,0
Xisco Nadal,Right Winger,Retired,free transfer,32,2
Marquitos,Attacking Midfield,CD Ibiza,-,34,0
Juan Román Riquelme,Attacking Midfield,Retired,free transfer,37,1
Javier Calleja,Left Midfield,Retired,free transfer,34,3
Santi Cazorla,Central Midfield,Al-Sadd SC,free transfer,35,2
Josico,Defensive Midfield,Retired,free transfer,36,2
Marcos Senna,Defensive Midfield,Retired,free transfer,39,2
Alessio Tacchinardi,Defensive Midfield,Retired,free transfer,33,1
Antonio Valencia,Right-Back,Retired,-,36,0
Javi Venta,Right-Back,Retired,free transfer,37,0
Jan Kromkamp,Right-Back,Retired,free transfer,33,2
Carlos Alcántara,Left-Back,Ciudad Murcia,free transfer,37,1
Rodolfo Arruabarrena,Left-Back,Retired,free transfer,36,1
Oscar López,Centre-Back,Without Club,free transfer,34,2
César Arzo,Centre-Back,Retired,free transfer,33,1
Quique Álvarez,Centre-Back,Retired,free transfer,34,2
Juan Manuel Peña,Centre-Back,Retired,-,38,1
Josemi,Centre-Back,Retired,free transfer,36,1
Gonzalo Rodríguez,Centre-Back,Retired,free transfer,36,3
Juan Carlos,Goalkeeper,Retired,-,35,1
Javier López Vallejo,Goalkeeper,Retired,-,37,1
Mariano Barbosa,Goalkeeper,Retired,free transfer,36,5
Sebastián Viera,Goalkeeper,Junior FC,-,28,2
Diego Tardelli,Centre-Forward,Without Club,free transfer,37,1
Dani,Centre-Forward,Retired,free transfer,32,1
Ricardo Oliveira,Centre-Forward,Athletic Club,-,42,1
Xisco Muñoz,Second Striker,Retired,free transfer,36,1
Joaquín,Right Winger,Real Betis,€1.80m,34,2
Denílson,Left Winger,Retired,-,45,0
Fernando,Attacking Midfield,Retired,-,34,1
Capi,Attacking Midfield,Retired,free transfer,37,2
Juanlu,Left Midfield,Retired,free transfer,34,0
José Alberto Cañas,Central Midfield,Ionikos Nikeas,-,34,0
Alberto Rivera,Central Midfield,Retired,free transfer,36,2
Marcos Assunção,Central Midfield,Retired,-,40,0
Juande Prados,Defensive Midfield,Adelaide United,-,35,0
Juanjo Cañas,Defensive Midfield,Retired,?,37,3
Arzu,Defensive Midfield,Retired,-,33,2
Miguel Ángel,Defensive Midfield,Retired,free transfer,38,1
Fernando Varela,Right-Back,Retired,?,33,1
Óscar López,Right-Back,Retired,-,32,0
Luis Fernández,Left-Back,Retired,free transfer,37,3
David Rivas,Centre-Back,Retired,free transfer,34,2
Alejandro Lembo,Centre-Back,Retired,?,35,1
Melli,Centre-Back,Retired,free transfer,35,2
Juanito,Centre-Back,Retired,free transfer,36,1
Toni Doblas,Goalkeeper,Retired,-,39,0
Pedro Contreras,Goalkeeper,Retired,End of loan,36,0
Carlitos,Centre-Forward,Retired,-,31,0
Frédéric Kanouté,Centre-Forward,Retired,free transfer,37,2
Luís Fabiano,Centre-Forward,Retired,-,39,1
Javier Saviola,Second Striker,Retired,free transfer,34,1
Fernando Sales,Right Winger,Retired,-,38,1
Diego Capel,Left Winger,Without Club,-,34,0
Jesuli,Attacking Midfield,Retired,End of loan,30,0
Jordi López,Central Midfield,Retired,free transfer,36,1
Renato,Central Midfield,Retired,free transfer,40,5
Enzo Maresca,Central Midfield,Retired,-,37,1
Josep Lluís Martí,Defensive Midfield,Retired,€500Th.,40,7
Jesús Navas,Right-Back,Sevilla FC,€20.00m,32,4
Dani Alves,Right-Back,UNAM Pumas,-,39,1
David Castedo,Left-Back,Retired,free transfer,34,1
Adriano,Left-Back,Without Club,free transfer,37,1
José Crespo,Centre-Back,APOEL Nicosia,free transfer,35,6
Aitor Ocio,Centre-Back,Retired,€3.50m,36,5
Javi Navarro,Centre-Back,Retired,free transfer,35,8
Julien Escudé,Centre-Back,Retired,free transfer,35,2
Sergio Ramos,Centre-Back,Paris SG,€27.00m,35,16
Antonio Notario,Goalkeeper,Retired,free transfer,38,1
Andrés Palop,Goalkeeper,Retired,free transfer,41,1
Rubén Castro,Centre-Forward,Málaga CF,free transfer,41,2
Diego Tristán,Centre-Forward,Retired,free transfer,34,1
Pedro Munitis,Second Striker,Retired,€3.00m,37,6
Víctor Sánchez,Right Winger,Retired,free transfer,32,1
Momo,Left Winger,Retired,free transfer,37,7
Albert Luque,Left Winger,Retired,free transfer,33,2
Iago Iglesias,Attacking Midfield,Retired,free transfer,31,1
Juan Carlos Valerón,Attacking Midfield,Retired,free transfer,41,3
Paco Gallardo,Right Midfield,Retired,free transfer,34,1
Roberto Acuña,Central Midfield,Retired,-,45,0
Sergio,Central Midfield,Retired,free transfer,35,1
Aldo Duscher,Defensive Midfield,Retired,free transfer,33,0
Lionel Scaloni,Right-Back,Retired,€250Th.,37,2
Héctor Berenguel,Right-Back,Retired,free transfer,34,2
Manuel Pablo,Right-Back,Retired,€1.30m,40,18
Enrique Romero,Left-Back,Retired,free transfer,36,1
Joan Capdevila,Left-Back,Retired,-,39,1
Juanma Delgado,Centre-Back,Retired,free transfer,32,0
Fabricio Coloccini,Centre-Back,Retired,free transfer,40,1
Jorge Andrade,Centre-Back,Retired,€10.00m,31,2
Dani Mallo,Goalkeeper,Retired,free transfer,38,0
Rufino Segovia,Centre-Forward,Without Club,-,37,1
Manu del Moral,Centre-Forward,Retired,-,35,0
Mateja Kezman,Centre-Forward,Retired,free transfer,33,0
Fernando Torres,Centre-Forward,Retired,free transfer,35,1
Luciano Galletti,Right Winger,Retired,-,34,1
Maxi Rodríguez,Left Winger,Retired,free transfer,41,3
Martin Petrov,Left Winger,Retired,-,35,1
Ariel Ibagaza,Attacking Midfield,Retired,free transfer,39,1
Gabi,Central Midfield,Retired,free transfer,37,2
Gonzalo Colsa,Defensive Midfield,Retired,free transfer,34,1
Antonio Moreno,Right-Back,Retired,free transfer,35,1
Francisco Molinero,Right-Back,Retired,free transfer,37,1
Juan Velasco,Right-Back,Retired,free transfer,34,1
Antonio López,Left-Back,Retired,free transfer,33,2
Pablo Sicilia,Centre-Back,Retired,free transfer,31,6
Mario Suárez,Centre-Back,Rayo Vallecano,?,32,2
García Calvo,Centre-Back,Retired,free transfer,34,3
Pablo Ibáñez,Centre-Back,Retired,€570Th.,32,2
Luis Amaranto Perea,Centre-Back,Retired,-,37,1
Ismael Falcón,Goalkeeper,San Fernando CD,free transfer,38,1
Roberto,Goalkeeper,Retired,free transfer,36,2
Iván Cuéllar,Goalkeeper,Sporting Gijón,free transfer,37,4
Patrick Kluivert,Centre-Forward,Retired,free transfer,32,1
Mista,Centre-Forward,Retired,free transfer,33,1
David Villa,Centre-Forward,Retired,free transfer,38,1
Miguel Ángel Angulo,Second Striker,Retired,free transfer,33,1
Francisco Rufete,Right Winger,Retired,free transfer,35,2
Mario Regueiro,Left Winger,Retired,?,37,1
Vicente,Left Winger,Retired,-,32,2
Pablo Aimar,Attacking Midfield,Retired,-,36,0
Edú Gaspar,Central Midfield,Retired,free transfer,33,2
Hugo Viana,Central Midfield,Retired,?,33,1
Rubén Baraja,Central Midfield,Retired,€10.80m,35,11
Gonzalo de los Santos,Defensive Midfield,Retired,free transfer,34,2
David Albelda,Defensive Midfield,Retired,End of loan,36,14
Pedro López,Right-Back,Retired,-,38,0
Curro Torres,Right-Back,Retired,free transfer,34,2
Miguel,Right-Back,Retired,€8.00m,32,7
Amedeo Carboni,Left-Back,Retired,€4.00m,41,9
Raúl Albiol,Centre-Back,Villarreal,€12.00m,34,6
Roberto Ayala,Centre-Back,Retired,free transfer,38,1
Carlos Marchena,Centre-Back,Retired,free transfer,37,1
Juan Luis Mora,Goalkeeper,Retired,free transfer,37,2
Ludovic Butelle,Goalkeeper,Red Star FC,?,38,3
Santiago Cañizares,Goalkeeper,Retired,free transfer,38,10
David Barral,Centre-Forward,Without Club,-,39,1
Roberto Soldado,Centre-Forward,Levante,free transfer,36,2
Javier Portillo,Centre-Forward,Retired,free transfer,34,4
Ronaldo,Centre-Forward,Retired,-,35,2
Raúl,Second Striker,Retired,-,38,1
José Manuel Jurado,Attacking Midfield,Retired,free transfer,34,1
David Beckham,Right Midfield,Retired,free transfer,38,0
Borja Valero,Central Midfield,CS Lebowski,free transfer,36,1
Guti,Central Midfield,Retired,free transfer,35,1
Marcos Tébar,Defensive Midfield,Without Club,free transfer,34,2
Thomas Gravesen,Defensive Midfield,Retired,End of loan,32,0
Pablo García,Defensive Midfield,Retired,free transfer,37,0
Álvaro Arbeloa,Right-Back,Retired,free transfer,34,1
Carlos Diogo,Right-Back,Retired,-,32,1
Míchel Salgado,Right-Back,Retired,-,43,0
Roberto Carlos,Left-Back,Retired,-,43,1
Rubén González,Centre-Back,Retired,free transfer,35,0
Francisco Pavón,Centre-Back,Retired,free transfer,31,1
Raúl Bravo,Centre-Back,Unknown,free transfer,41,1
Iván Helguera,Centre-Back,Retired,free transfer,34,2
Jonathan Woodgate,Centre-Back,Retired,free transfer,36,4
Jordi Codina,Goalkeeper,Retired,-,37,1
David Cobeño,Goalkeeper,Retired,free transfer,34,8
Diego López,Goalkeeper,Rayo Vallecano,free transfer,41,5
Iker Casillas,Goalkeeper,Retired,free transfer,39,5
Henrik Larsson,Centre-Forward,Retired,End of loan,38,2
Santiago Ezquerro,Centre-Forward,Retired,free transfer,32,1
Samuel Eto'o,Centre-Forward,Retired,free transfer,38,1
Ludovic Giuly,Right Winger,Retired,free transfer,41,1
Lionel Messi,Right Winger,Paris SG,-,34,16
Deco,Attacking Midfield,Retired,free transfer,36,3
Ronaldinho Gaúcho,Attacking Midfield,Retired,-,38,3
Andrea Orlandi,Central Midfield,Retired,?,35,0
Ludovic Sylvestre,Central Midfield,Retired,-,34,2
Jordi Gómez,Central Midfield,Without Club,free transfer,37,4
Pitu,Central Midfield,Retired,free transfer,38,4
Andrés Iniesta,Central Midfield,Vissel Kobe,-,34,16
Xavi,Central Midfield,Retired,free transfer,39,4
Gabri,Defensive Midfield,Retired,-,35,2
Edmílson,Defensive Midfield,Retired,free transfer,36,1
Thiago Motta,Defensive Midfield,Retired,€11.50m,36,6
Mark van Bommel,Defensive Midfield,Retired,free transfer,36,1
Carlos Peña,Left-Back,Retired,free transfer,37,2
Sylvinho,Left-Back,Retired,free transfer,36,1
Giovanni van Bronckhorst,Left-Back,Retired,free transfer,35,3
Jesús Olmo,Centre-Back,Cartagena FC,-,36,0
Javi Martos,Centre-Back,AE Prat,free transfer,36,1
Oleguer,Centre-Back,Retired,€3.00m,31,3
Rafael Márquez,Centre-Back,Retired,€200Th.,39,2
Carles Puyol,Centre-Back,Retired,-,36,15
Víctor Valdés,Goalkeeper,Retired,free transfer,35,1
István Ferenczi,Centre-Forward,Retired,-,41,2
Saffet Akyüz,Centre-Forward,Retired,free transfer,36,0
Okan Öztürk,Centre-Forward,Retired,free transfer,35,1
Aydin Kuzu,Right Winger,Tire Belediye,free transfer,35,0
Serkan Özdemir,Right Winger,Retired,-,41,1
Ferdi Elmas,Left Winger,Without Club,-,32,0
Murat Salar,Attacking Midfield,Retired,free transfer,38,1
Douglas,Attacking Midfield,Retired,free transfer,38,0
Altan Aksoy,Attacking Midfield,Retired,?,35,1
Sener Askaroglu,Right Midfield,Retired,?,32,1
Cem Baki,Right Midfield,Retired,free transfer,37,1
Cafercan Aksu,Central Midfield,Siirt IÖI,free transfer,35,1
Ünal Alpugan,Defensive Midfield,Retired,-,37,1
Fahri Tatan,Defensive Midfield,Retired,free transfer,35,1
Hakan Ünsal,Left-Back,Retired,free transfer,33,1
Gustavo Victoria,Left-Back,Retired,free transfer,34,1
Fatih Gültekin,Centre-Back,Muglaspor,free transfer,35,0
Evren Kürkcü,Centre-Back,Gaziosmanpasa,free transfer,35,0
Yasin Cakmak,Centre-Back,Retired,-,30,0
Serhat Akyüz,Centre-Back,Without Club,free transfer,36,1
Beshir El Tabei,Centre-Back,Retired,?,36,1
Mehmet Polat,Centre-Back,Retired,?,34,1
Zdravko Zdravkov,Goalkeeper,Retired,free transfer,37,3
Fatih Tutar,Centre-Forward,Kücükcekmece IY,-,36,1
Mehmet Yildiz,Centre-Forward,Retired,free transfer,34,0
Pini Balili,Centre-Forward,Retired,?,35,2
Ibrahim Aydemir,Right Winger,Retired,-,35,0
Mohamed Ali,Attacking Midfield,Retired,-,37,0
Ilhan Ummak,Left Midfield,Retired,-,36,1
Musa Kus,Right Midfield,Retired,-,36,1
Dennis Pena Lamego,Central Midfield,Retired,?,31,1
Fransergio,Central Midfield,Retired,?,31,1
Yasir Elmaci,Defensive Midfield,Retired,?,31,0
Cem Karaca,Defensive Midfield,Retired,free transfer,42,1
Hakan Bayraktar,Defensive Midfield,Retired,free transfer,38,1
Cem Can,Right-Back,Retired,free transfer,35,1
Hayrettin Yerlikaya,Left-Back,Retired,free transfer,32,14
Murat Sözgelmez,Centre-Back,Retired,free transfer,33,1
Hakki Hocaoglu,Centre-Back,Retired,free transfer,35,1
Raymond Kalla,Centre-Back,Retired,free transfer,35,4
Vedat Kapurtu,Goalkeeper,Retired,free transfer,40,1
Akin Vardar,Goalkeeper,Retired,free transfer,35,1
Oguz Daglaroglu,Goalkeeper,Retired,free transfer,37,0
Michael Petkovic,Goalkeeper,Retired,free transfer,35,1
Erhan Ölker,Centre-Forward,Kayapinar Bld,free transfer,30,1
Oktay Derelioglu,Centre-Forward,Retired,free transfer,32,1
Goran Maznov,Centre-Forward,Retired,free transfer,35,1
Hasan Özer,Centre-Forward,Retired,-,34,0
Burhan Eser,Right Winger,Isparta 32 Spor,free transfer,37,1
Sinan Turan,Attacking Midfield,Siirt IÖI,-,37,1
Erkan Öztürk,Attacking Midfield,Inter Monheim,free transfer,38,8
Serkan Aslan,Attacking Midfield,Schwarzach,free transfer,41,0
Ender Alkan,Attacking Midfield,Retired,?,34,1
Serdar Samatyali,Right Midfield,Retired,-,37,1
Ali Sakal,Central Midfield,Unknown,free transfer,36,1
Redi Jupi,Central Midfield,Retired,?,33,1
Recep Asil,Right-Back,Retired,?,37,1
Sinan Demircioglu,Left-Back,Retired,free transfer,37,4
Elyasa Süme,Centre-Back,Retired,free transfer,35,4
Tolga Dogantez,Centre-Back,Retired,-,37,0
Can Cumhur Bozaci,Centre-Back,Retired,free transfer,37,2
Goce Sedloski,Centre-Back,Retired,-,37,1
Goran Stavrevski,Defender,Novaci,free transfer,38,2
Murat Yigiter,Goalkeeper,Retired,?,35,0
Ramazan Kursunlu,Goalkeeper,Retired,free transfer,33,1
Metin Aktas,Goalkeeper,Retired,free transfer,35,1
Burhan Coskun,Centre-Forward,Gaziantepgücü,-,40,0
Cenk Isler,Centre-Forward,Retired,?,38,1
Junivan,attack,Retired,?,35,2
Júlio César Souza,Attacking Midfield,Retired,free transfer,35,0
Ali Akdeniz,Left Midfield,Retired,free transfer,35,2
Timucin Bayazit,Left Midfield,Retired,free transfer,36,1
Ilhan Özbay,Right Midfield,Retired,free transfer,35,1
Halit Güven Kocabal,Central Midfield,Retired,?,33,1
Mehmet Ayaz,Central Midfield,Without Club,free transfer,36,1
Muhammed Emin Bakan,Defensive Midfield,Tavsanli Linyit,free transfer,36,1
Emre Toraman,Defensive Midfield,Retired,free transfer,39,2
Riadh Bouazizi,Defensive Midfield,Retired,?,35,1
Gökhan Kök,Right-Back,Retired,-,32,1
Mehmet Fatih Karaca,Centre-Back,Retired,?,23,0
Lucién Mettomo,Centre-Back,Retired,free transfer,32,1
Senol Yavas,Centre-Back,Retired,free transfer,37,2
Mamadou Seck,Centre-Back,Retired,End of loan,30,1
Güven Yilmaz,Goalkeeper,Develi Spor,-,37,0
Zafer Özgültekin,Goalkeeper,Retired,free transfer,36,1
Mahmut Yilmaz,Centre-Forward,Retired,free transfer,37,1
Sinan Kaloglu,Centre-Forward,Retired,free transfer,36,3
Emre Isciler,Right Winger,Bagcilar SK,free transfer,33,0
Yigit Gökoglan,Right Winger,Bergama Bld,?,33,1
Filip Holosko,Right Winger,SK Uvaly,-,36,1
Arda Turan,Left Winger,Retired,-,35,0
Michal Meduna,attack,Retired,free transfer,39,2
Kenan Aslanoglu,Attacking Midfield,Unknown,-,37,1
Mithat Yavas,Attacking Midfield,Retired,?,32,1
Lukas Zelenka,Attacking Midfield,Retired,free transfer,37,4
Selcuk Inan,Central Midfield,Retired,free transfer,35,9
Zoltán Böőr,Central Midfield,Retired,?,37,3
Ugur Inceman,Central Midfield,Retired,free transfer,37,2
Sandro Mendes,Defensive Midfield,Retired,free transfer,35,1
Yilmaz Özlem,Defensive Midfield,Retired,?,39,1
Gündüz Gürol Azer,Right-Back,Retired,?,32,1
Hakan Balta,Left-Back,Retired,€1.00m,35,11
Caner Erkin,Left-Back,Karagümrük,free transfer,33,1
Tufan Esin,Centre-Back,Silifke Bld,?,34,1
Karel D'Haene,Centre-Back,Retired,free transfer,36,10
Petr Johana,Centre-Back,Retired,?,41,3
Egemen Gencalp,Goalkeeper,Bodrumspor,free transfer,32,1
Ilhan Parlak,Centre-Forward,Kayserispor,free transfer,33,3
Engin Cicem,Centre-Forward,Retired,free transfer,32,0
Aleksandar Rodic,Centre-Forward,Without Club,?,39,1
Gökhan Ünal,Centre-Forward,Retired,-,36,0
Köksal Yedek,Attacking Midfield,Nisantasispor,-,35,2
Fatih Ceylan,Left Midfield,Türk Neckarsu.,-,42,2
Bora Riza Kalyon,Defensive Midfield,Retired,free transfer,33,3
Altan Günes,Defensive Midfield,Without Club,free transfer,33,4
Kamber Arslan,Defensive Midfield,Retired,-,34,1
Ragip Basdag,Defensive Midfield,Retired,free transfer,39,1
Aydemir Yavuz,Centre-Back,Unknown,free transfer,33,1
Veysel Aksu,Centre-Back,Alasehir Bld,free transfer,36,0
Aydin Toscali,Centre-Back,Retired,free transfer,34,1
Rashad Sadyqov,Centre-Back,Retired,?,38,9
Ali Turan,Centre-Back,Retired,free transfer,37,8
Muhammet Hanifi Yoldas,Centre-Back,Retired,free transfer,28,0
Erman Sari,Goalkeeper,Alibeyköy,free transfer,36,1
Ergun Cengiz,Centre-Forward,K. Sinop Spor,free transfer,35,1
Jiri Masek,Centre-Forward,Retired,free transfer,40,6
Jean-Emmanuel Effa-Owona,Centre-Forward,73 Sirnak Bld,free transfer,34,1
Mustafa Özkan,Centre-Forward,Retired,free transfer,35,0
Okan Yilmaz,Centre-Forward,Retired,-,34,0
Evren Turhan,Attacking Midfield,Retired,free transfer,44,4
Tomas Michalek,Right Midfield,Retired,?,41,2
Serkan Bensol,Right Midfield,Retired,?,35,0
Sebastian Johansson,Central Midfield,Ahlafors IF,-,34,1
Hakan Söyler,Defensive Midfield,Retired,-,33,0
Serdal Boyraz,Defensive Midfield,Retired,-,33,0
Ibrahim Kargbo,Defensive Midfield,Retired,free transfer,37,3
Vedat Tasdemir,Right-Back,Firat Üni,free transfer,33,1
Hakan Aslantas,Right-Back,Retired,-,37,0
Ramazan Kahya,Left-Back,Retired,-,35,0
Volkan Bekiroglu,Left-Back,Retired,?,34,1
Aytac Ak,Centre-Back,Retired,free transfer,33,1
Jiri Homola,Centre-Back,Retired,?,40,2
Ömer Erdogan,Centre-Back,Retired,?,36,7
Fevzi Tuncay,Goalkeeper,Retired,-,35,0
Mehmet Cakir,Centre-Forward,Retired,free transfer,35,1
Igor Bogdanovic,Centre-Forward,Retired,free transfer,43,2
Ugur Boral,Left Midfield,Retired,free transfer,33,3
Tayfun Korkut,Right Midfield,Retired,-,32,0
Engin Baytar,Central Midfield,Without Club,free transfer,38,0
Christophe Lepoint,Central Midfield,RFC Seraing,?,38,1
Josip Skoko,Central Midfield,Retired,free transfer,35,1
Kerem Seras,Defensive Midfield,Without Club,?,36,2
Gökhan Gönül,Right-Back,C. Rizespor,free transfer,36,1
Erhan Güven,Right-Back,Retired,free transfer,32,0
Christian Järdler,Left-Back,Retired,free transfer,31,4
Ismail Güldüren,Centre-Back,Retired,free transfer,31,1
Ercüment Kafkasyali,Goalkeeper,Cankaya FK,?,37,2
Ömer Catkic,Goalkeeper,Retired,free transfer,38,4
Gökhan Tokgöz,Goalkeeper,Retired,?,33,0
Rafael Marques,Centre-Forward,Primavera,free transfer,39,1
Serkan Aykut,Centre-Forward,Retired,€500Th.,34,7
Caner Altin,Centre-Forward,Retired,?,31,2
Georgi Ivanov,Centre-Forward,Retired,€150Th.,33,1
Musa Aydin,Right Winger,Retired,free transfer,36,4
Celil Sagir,Left Midfield,Retired,-,39,1
Sefa Aksoy,Central Midfield,68 Aksaray Bld,free transfer,33,1
Adnan Güngör,Defensive Midfield,Retired,free transfer,36,1
Emre Balak,Centre-Back,Without Club,free transfer,32,1
Ibrahima Gueyé,Centre-Back,Retired,-,36,0
Yordan Petkov,Centre-Back,Retired,free transfer,35,0
Kenan Yelek,Centre-Back,Retired,free transfer,36,11
Seyhun Türe,Goalkeeper,Beykozspor,free transfer,35,0
Alioum Boukar,Goalkeeper,Retired,-,38,2
Ali Gherieni,Centre-Forward,Retired,-,32,0
Ahmed Belal,Centre-Forward,Retired,-,33,0
Umut Bulut,Centre-Forward,Eyüpspor,-,38,1
Birol Aksancak,Left Winger,Retired,?,31,1
Elvir Baljic,Left Winger,Retired,free transfer,34,2
Héverton,Attacking Midfield,Retired,free transfer,31,0
Robson,Attacking Midfield,River Plate-SE,-,25,2
Charles-Edouard Coridon,Attacking Midfield,Retired,?,35,2
Murat Duruer,Central Midfield,Without Club,?,31,1
Burak Karaduman,Central Midfield,Retired,free transfer,33,1
Deniz Kolgu,Central Midfield,Retired,-,35,0
Cem Sinan Vergül,Defensive Midfield,Retired,?,34,1
Ergin Pektas,midfield,Retired,-,30,1
Abdurrahman Dereli,Right-Back,Retired,free transfer,35,1
Niyazi Güney,Right-Back,Retired,-,35,0
Ivaylo Petkov,Left-Back,Retired,free transfer,35,2
Emre Güngör,Centre-Back,Retired,free transfer,33,1
Gökmen Baris,Centre-Back,Retired,-,34,2
Hakan Kutlu,Sweeper,Retired,-,35,14
Serkan Kirintili,Goalkeeper,Ümraniyespor,free transfer,37,1
Gustave Bebbe,Centre-Forward,S. Kapadokya,free transfer,39,1
Tayfun Türkmen,Centre-Forward,Retired,free transfer,34,2
Mustafa Er,Central Midfield,Retired,-,34,0
Tayfun Seven,Central Midfield,Retired,?,35,1
Gökhan Cakir,Defensive Midfield,K. Sinop Spor,-,34,2
Zafer Demir,Defensive Midfield,Retired,-,36,0
Levent Kartop,Defensive Midfield,Retired,free transfer,34,1
Yasin Celik,Right-Back,Retired,-,34,0
Ömer Gündostu,Centre-Back,Retired,-,35,1
Abdelzaher El Saka,Centre-Back,Retired,free transfer,38,2
Ümit Bozkurt,Sweeper,Retired,free transfer,35,1
Eray Birnican,Goalkeeper,GMG Kastamonu,free transfer,34,2
Özden Öngün,Goalkeeper,Retired,?,36,1
Mehmet Yilmaz,Centre-Forward,Retired,-,34,0
Hüseyin Kartal,Centre-Forward,Retired,-,34,1
Yusuf Simsek,Attacking Midfield,Retired,free transfer,37,1
Baris Bakir,Left Midfield,Alibeyköy,free transfer,38,1
Güven Varol,Right Midfield,Retired,free transfer,36,4
Miikka Multaharju,Right Midfield,Retired,free transfer,33,1
Selim Teber,Central Midfield,SW Frankenthal,-,37,1
