,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
528,528,562,769,769,769,769,769,Liverpool FC,Paul Anderson,23/07/1988,Right Midfield,Unknown,18/08/2021,-,02/07/2020
529,529,563,770,770,770,770,770,Liverpool FC,Darren Potter,21/12/1984,Central Midfield,Retired,17/11/2020,free transfer,22/10/2020
530,530,564,772,772,772,772,772,Liverpool FC,Steven Gerrard,30/05/1980,Central Midfield,Retired,01/01/2017,free transfer,01/07/2015
531,531,565,773,773,773,773,773,Liverpool FC,Carl Medjani,15/05/1985,Defensive Midfield,Salaise Rhodia,12/02/2022,-,01/08/2020
532,532,566,774,774,774,774,774,Liverpool FC,Dietmar Hamann,27/08/1973,Defensive Midfield,Retired,02/02/2011,-,22/05/2010
533,533,567,776,776,776,776,776,Liverpool FC,Xabi Alonso,25/11/1981,Defensive Midfield,Retired,01/07/2017,€9.00m,29/08/2014
534,534,568,777,777,777,777,777,Liverpool FC,David Raven,10/03/1985,Right-Back,Retired,22/12/2021,free transfer,03/09/2020
535,535,569,778,778,778,778,778,Liverpool FC,Antonio Barragán,12/06/1987,Right-Back,Without Club,01/07/2022,free transfer,04/10/2020
536,536,570,780,780,780,780,780,Liverpool FC,Jan Kromkamp,17/08/1980,Right-Back,Retired,01/07/2013,free transfer,01/07/2011
537,537,571,782,782,782,782,782,Liverpool FC,John Arne Riise,24/09/1980,Left-Back,Retired,01/01/2018,-,21/04/2017
538,538,572,784,784,784,784,784,Liverpool FC,Zak Whitbread,10/01/1984,Centre-Back,Retired,01/07/2016,-,16/10/2015
539,539,573,785,785,785,785,785,Liverpool FC,Djimi Traoré,01/03/1980,Centre-Back,Retired,30/06/2014,-,23/02/2013
540,540,574,786,786,786,786,786,Liverpool FC,Josemi,15/11/1979,Centre-Back,Retired,09/11/2015,free transfer,21/08/2014
541,541,575,787,787,787,787,787,Liverpool FC,Sami Hyypiä,07/10/1973,Centre-Back,Retired,01/07/2011,free transfer,01/07/2009
542,542,576,788,788,788,788,788,Liverpool FC,Daniel Agger,12/12/1984,Centre-Back,Retired,01/07/2016,€4.00m,30/08/2014
543,543,577,789,789,789,789,789,Liverpool FC,Jamie Carragher,28/01/1978,Centre-Back,Retired,01/07/2013,-,01/07/1996
544,544,578,790,790,790,790,790,Liverpool FC,David Martin,22/01/1986,Goalkeeper,MK Dons,23/09/2022,-,01/07/2022
545,545,579,791,791,791,791,791,Liverpool FC,Scott Carson,03/09/1985,Goalkeeper,Man City,20/07/2021,End of loan,31/05/2021
546,546,580,793,793,793,793,793,Liverpool FC,Pepe Reina,31/08/1982,Goalkeeper,Villarreal,08/07/2022,free transfer,01/09/2020
547,547,581,794,794,794,794,794,Arsenal FC,Anthony Stokes,25/07/1988,Centre-Forward,Retired,15/09/2020,-,15/09/2020
548,548,582,795,795,795,795,795,Arsenal FC,Nicklas Bendtner,16/01/1988,Centre-Forward,Retired,03/06/2021,-,01/01/2020
549,549,584,797,797,797,797,797,Arsenal FC,Robin van Persie,06/08/1983,Centre-Forward,Retired,01/07/2019,free transfer,22/01/2018
550,550,585,798,798,798,798,798,Arsenal FC,Emmanuel Adebayor,26/02/1984,Centre-Forward,AC Semassi FC,01/07/2021,-,01/07/2020
551,551,586,799,799,799,799,799,Arsenal FC,Thierry Henry,17/08/1977,Centre-Forward,Retired,01/01/2015,End of loan,16/02/2012
552,552,587,800,800,800,800,800,Arsenal FC,Dennis Bergkamp,10/05/1969,Second Striker,Retired,01/07/2006,€11.25m,01/07/1995
553,553,588,801,801,801,801,801,Arsenal FC,Theo Walcott,16/03/1989,Right Winger,Southampton,01/07/2021,End of loan,31/05/2021
554,554,589,803,803,803,803,803,Arsenal FC,Quincy Owusu-Abeyie,15/04/1986,Left Winger,SV Robinhood,01/07/2020,-,02/01/2017
555,555,590,804,804,804,804,804,Arsenal FC,Aleksandr Hleb,01/05/1981,Attacking Midfield,Retired,13/03/2020,free transfer,08/08/2019
556,556,591,805,805,805,805,805,Arsenal FC,Robert Pirès,29/10/1973,Left Midfield,Retired,13/03/2015,-,20/09/2014
557,557,592,806,806,806,806,806,Arsenal FC,Freddie Ljungberg,16/04/1977,Right Midfield,Retired,01/01/2015,-,02/09/2014
558,558,593,807,807,807,807,807,Arsenal FC,Fabrice Muamba,06/04/1988,Central Midfield,Retired,15/08/2012,€6.40m,01/07/2008
559,559,594,808,808,808,808,808,Arsenal FC,Sebastian Larsson,06/06/1985,Central Midfield,AIK,15/07/2018,-,01/01/2023
560,560,595,809,809,809,809,809,Arsenal FC,Patrick Cregg,21/02/1986,Central Midfield,Retired,01/09/2019,-,04/07/2018
561,561,596,810,810,810,810,810,Arsenal FC,Abou Diaby,11/05/1986,Central Midfield,Retired,26/02/2019,-,01/07/2017
562,562,597,811,811,811,811,811,Arsenal FC,Cesc Fàbregas,04/05/1987,Central Midfield,Como,01/08/2022,€9.00m,11/01/2019
563,563,598,812,812,812,812,812,Arsenal FC,Alex Song,09/09/1987,Defensive Midfield,AS Arta/Solar7,07/11/2020,-,20/03/2020
564,564,599,813,813,813,813,813,Arsenal FC,Mathieu Flamini,07/03/1984,Defensive Midfield,Retired,01/07/2019,-,19/12/2018
565,565,600,814,814,814,814,814,Arsenal FC,Gilberto Silva,07/10/1976,Defensive Midfield,Retired,11/12/2015,-,01/01/2014
566,566,601,816,816,816,816,816,Arsenal FC,Emmanuel Eboué,04/06/1983,Right-Back,Retired,31/03/2016,-,09/03/2016
567,567,602,817,817,817,817,817,Arsenal FC,Laurén,19/01/1977,Right-Back,Retired,15/07/2010,-,15/03/2010
568,568,603,818,818,818,818,818,Arsenal FC,Gaël Clichy,26/07/1985,Left-Back,Servette FC,02/12/2020,-,06/08/2020
569,569,604,819,819,819,819,819,Arsenal FC,Ashley Cole,20/12/1980,Left-Back,Retired,18/08/2019,free transfer,21/01/2019
570,570,605,821,821,821,821,821,Arsenal FC,Johan Djourou,18/01/1987,Centre-Back,Retired,01/07/2021,free transfer,05/10/2020
571,571,606,822,822,822,822,822,Arsenal FC,Pascal Cygan,29/04/1974,Centre-Back,Retired,01/07/2011,free transfer,10/08/2009
572,572,607,823,823,823,823,823,Arsenal FC,Philippe Senderos,14/02/1985,Centre-Back,Retired,01/01/2020,-,10/09/2019
573,573,608,824,824,824,824,824,Arsenal FC,Kolo Touré,19/03/1981,Centre-Back,Retired,10/08/2017,free transfer,24/07/2016
574,574,609,825,825,825,825,825,Arsenal FC,Sol Campbell,18/09/1974,Centre-Back,Retired,01/07/2011,free transfer,01/07/2010
575,575,610,826,826,826,826,826,Arsenal FC,Mark Howard,21/09/1986,Goalkeeper,Wrexham,05/07/2022,-,14/10/2021
576,576,611,827,827,827,827,827,Arsenal FC,Manuel Almunia,19/05/1977,Goalkeeper,Retired,27/08/2014,free transfer,30/07/2012
577,577,612,828,828,828,828,828,Arsenal FC,Mart Poom,03/02/1972,Goalkeeper,Retired,01/07/2009,€100Th.,01/07/2007
578,578,613,829,829,829,829,829,Arsenal FC,Jens Lehmann,10/11/1969,Goalkeeper,Retired,01/07/2011,-,01/03/2011
579,579,614,831,831,831,831,831,Manchester United,Sylvan Ebanks-Blake,29/03/1986,Centre-Forward,Retired,21/12/2018,free transfer,16/11/2018
580,580,615,832,832,832,832,832,Manchester United,Luke Steele,24/09/1984,Centre-Forward,Deeping,14/07/2021,free transfer,20/04/2021
581,581,616,833,833,833,833,833,Manchester United,Giuseppe Rossi,01/02/1987,Centre-Forward,Without Club,01/07/2022,-,19/11/2021
582,582,617,835,835,835,835,835,Manchester United,Cristiano Ronaldo,05/02/1985,Centre-Forward,Man Utd,31/08/2021,€117.00m,10/07/2018
583,583,618,836,836,836,836,836,Manchester United,Ruud van Nistelrooy,01/07/1976,Centre-Forward,Retired,01/07/2012,free transfer,01/07/2011
584,584,619,837,837,837,837,837,Manchester United,Wayne Rooney,24/10/1985,Centre-Forward,Retired,15/01/2021,?,01/01/2020
585,585,620,838,838,838,838,838,Manchester United,Ole Gunnar Solskjaer,26/02/1973,Second Striker,Retired,28/08/2007,€2.50m,29/07/1996
586,586,621,839,839,839,839,839,Manchester United,Lee Martin,09/02/1987,Attacking Midfield,Dover Athletic,04/07/2022,free transfer,29/07/2020
587,587,622,840,840,840,840,840,Manchester United,Ji-sung Park,25/02/1981,Attacking Midfield,Retired,01/07/2014,End of loan,30/06/2014
588,588,623,841,841,841,841,841,Manchester United,Ryan Giggs,29/11/1973,Left Midfield,Retired,01/07/2014,-,01/07/1991
589,589,624,842,842,842,842,842,Manchester United,Darron Gibson,25/10/1987,Central Midfield,Wythenshawe AFC,01/07/2022,-,01/07/2021
590,590,625,843,843,843,843,843,Manchester United,Ritchie Jones,26/09/1986,Central Midfield,Retired,22/06/2016,?,15/01/2014
591,591,626,845,845,845,845,845,Manchester United,Quinton Fortune,21/05/1977,Central Midfield,Retired,04/02/2010,free transfer,01/07/2009
592,592,627,846,846,846,846,846,Manchester United,Darren Fletcher,01/02/1984,Central Midfield,Retired,01/01/2020,-,01/07/2019
593,593,628,847,847,847,847,847,Manchester United,Alan Smith,28/10/1980,Central Midfield,Retired,01/07/2018,free transfer,01/07/2014
594,594,629,848,848,848,848,848,Manchester United,Paul Scholes,16/11/1974,Central Midfield,Retired,01/07/2013,-,08/01/2012
595,595,630,849,849,849,849,849,Manchester United,Roy Keane,10/08/1971,Defensive Midfield,Retired,12/06/2006,free transfer,01/01/2006
596,596,631,850,850,850,850,850,Manchester United,Phil Bardsley,28/06/1985,Right-Back,Without Club,01/07/2022,€840Th.,25/07/2017
597,597,632,851,851,851,851,851,Manchester United,Gary Neville,18/02/1975,Right-Back,Retired,01/02/2011,-,01/07/1994
598,598,633,852,852,852,852,852,Manchester United,Adam Eckersley,07/09/1985,Left-Back,Retired,01/07/2020,free transfer,01/07/2019
599,599,634,853,853,853,853,853,Manchester United,Kieran Richardson,21/10/1984,Left-Back,Retired,29/12/2016,-,12/10/2016
600,600,635,854,854,854,854,854,Manchester United,Mikaël Silvestre,09/08/1977,Left-Back,Retired,01/01/2015,-,20/09/2014
601,601,636,855,855,855,855,855,Manchester United,Patrice Evra,15/05/1981,Left-Back,Retired,29/07/2019,-,31/05/2018
602,602,637,856,856,856,856,856,Manchester United,Gerard Piqué,02/02/1987,Centre-Back,Barcelona,01/07/2008,End of loan,30/06/2007
603,603,638,857,857,857,857,857,Manchester United,Wes Brown,13/10/1979,Centre-Back,Retired,01/07/2018,?,15/08/2017
604,604,639,858,858,858,858,858,Manchester United,John O'Shea,30/04/1981,Centre-Back,Retired,01/07/2019,free transfer,01/07/2018
605,605,640,859,859,859,859,859,Manchester United,Nemanja Vidic‎,21/10/1981,Centre-Back,Retired,18/01/2016,free transfer,01/07/2014
606,606,641,860,860,860,860,860,Manchester United,Gabriel Heinze,19/04/1978,Centre-Back,Retired,01/07/2014,free transfer,10/08/2012
607,607,642,861,861,861,861,861,Manchester United,Rio Ferdinand,07/11/1978,Centre-Back,Retired,01/07/2015,free transfer,17/07/2014
608,608,643,862,862,862,862,862,Manchester United,Tim Howard,06/03/1979,Goalkeeper,Retired,01/12/2020,-,04/03/2020
609,609,644,863,863,863,863,863,Manchester United,Edwin van der Sar,29/10/1970,Goalkeeper,Retired,01/07/2011,€4.00m,01/07/2005
610,610,645,864,864,864,864,864,Chelsea FC,Carlton Cole,12/10/1983,Centre-Forward,Retired,29/03/2018,-,04/08/2017
611,611,646,865,865,865,865,865,Chelsea FC,Eidur Gudjohnsen,15/09/1978,Centre-Forward,Retired,10/09/2017,-,26/09/2016
612,612,647,866,866,866,866,866,Chelsea FC,Hernán Crespo,05/07/1975,Centre-Forward,Retired,01/01/2012,free transfer,29/01/2010
613,613,648,867,867,867,867,867,Chelsea FC,Didier Drogba,11/03/1978,Centre-Forward,Retired,01/12/2018,-,12/04/2017
614,614,649,868,868,868,868,868,Chelsea FC,Shaun Wright-Phillips,25/10/1981,Right Winger,Retired,24/08/2019,-,01/12/2017
615,615,650,869,869,869,869,869,Chelsea FC,Arjen Robben,23/01/1984,Right Winger,Retired,15/07/2021,-,01/07/2020
616,616,651,870,870,870,870,870,Chelsea FC,Joe Cole,08/11/1981,Attacking Midfield,Retired,01/12/2018,free transfer,09/05/2016
617,617,652,872,872,872,872,872,Chelsea FC,Njitap Geremi,20/12/1978,Right Midfield,Retired,01/01/2011,free transfer,01/08/2010
618,618,653,873,873,873,873,873,Chelsea FC,Damien Duff,02/03/1979,Right Midfield,Retired,01/01/2016,free transfer,14/07/2015
619,619,654,875,875,875,875,875,Chelsea FC,Tiago Mendes,02/05/1981,Central Midfield,Retired,14/07/2017,free transfer,20/07/2011
620,620,655,876,876,876,876,876,Chelsea FC,Maniche,11/11/1977,Central Midfield,Retired,01/07/2011,free transfer,01/07/2010
621,621,656,877,877,877,877,877,Chelsea FC,Frank Lampard,20/06/1978,Central Midfield,Retired,02/02/2017,End of loan,30/06/2015
622,622,657,878,878,878,878,878,Chelsea FC,Lassana Diarra,10/03/1985,Defensive Midfield,Retired,08/02/2019,free transfer,23/01/2018
623,623,658,880,880,880,880,880,Chelsea FC,Michael Essien,03/12/1982,Defensive Midfield,Retired,09/09/2020,-,16/03/2019
624,624,659,881,881,881,881,881,Chelsea FC,Glen Johnson,23/08/1984,Right-Back,Retired,21/01/2019,-,01/07/2018
625,625,660,882,882,882,882,882,Chelsea FC,Paulo Ferreira,18/01/1979,Right-Back,Retired,01/07/2013,€20.00m,01/07/2004
626,626,661,883,883,883,883,883,Chelsea FC,Asier del Horno,19/01/1981,Left-Back,Retired,01/07/2012,free transfer,01/07/2011
627,627,662,884,884,884,884,884,Chelsea FC,Michael Mancienne,08/01/1988,Centre-Back,Burton Albion,09/02/2021,-,01/01/2021
628,628,663,885,885,885,885,885,Chelsea FC,Robert Huth,18/08/1984,Centre-Back,Retired,01/07/2018,€4.20m,01/07/2015
629,629,664,886,886,886,886,886,Chelsea FC,William Gallas,17/08/1977,Centre-Back,Retired,16/10/2014,-,01/07/2014
630,630,665,887,887,887,887,887,Chelsea FC,Ricardo Carvalho,18/05/1978,Centre-Back,Retired,01/01/2018,-,02/02/2017
631,631,666,888,888,888,888,888,Chelsea FC,John Terry,07/12/1980,Centre-Back,Retired,01/07/2018,free transfer,01/07/2017
632,632,667,889,889,889,889,889,Chelsea FC,Yves Makabu-Makalambay,31/01/1986,Goalkeeper,Retired,01/07/2019,-,02/10/2017
633,633,668,891,891,891,891,891,Chelsea FC,Carlo Cudicini,06/09/1973,Goalkeeper,Retired,01/07/2014,-,01/01/2014
634,634,669,892,892,892,892,892,Chelsea FC,Petr Cech,20/05/1982,Goalkeeper,Retired,01/07/2019,€14.00m,01/07/2015
635,635,670,893,893,893,893,893,AC Ajaccio,Dimitri Lesueur,25/01/1987,Centre-Forward,Bocognano,01/08/2022,-,01/07/2019
636,636,671,895,895,895,895,895,AC Ajaccio,Matthieu Scarpelli,23/07/1981,Centre-Forward,Retired,01/07/2017,free transfer,01/07/2015
637,637,672,896,896,896,896,896,AC Ajaccio,Jean-Jacques Mandrichi,03/06/1984,Centre-Forward,Vence,01/07/2020,free transfer,01/07/2019
638,638,673,897,897,897,897,897,AC Ajaccio,Kaba Diawara,16/12/1975,Centre-Forward,Retired,01/07/2011,free transfer,01/07/2009
639,639,674,898,898,898,898,898,AC Ajaccio,Rafik Saïfi,07/02/1975,Centre-Forward,Retired,01/07/2012,-,04/11/2010
640,640,675,901,901,901,901,901,AC Ajaccio,Moussa N'Diaye,20/02/1979,Right Winger,Retired,01/07/2015,free transfer,03/12/2010
641,641,676,902,902,902,902,902,AC Ajaccio,Xavier Bécas,31/05/1979,attack,Retired,01/07/2013,free transfer,01/07/2007
642,642,677,904,904,904,904,904,AC Ajaccio,Stéphane Ziani,09/12/1971,Attacking Midfield,Retired,01/07/2006,free transfer,01/07/2005
643,643,678,905,905,905,905,905,AC Ajaccio,Kamel Chafni,11/06/1982,Attacking Midfield,Retired,03/07/2021,free transfer,01/08/2020
644,644,679,907,907,907,907,907,AC Ajaccio,Christophe Bastien,09/03/1976,Right Midfield,Retired,01/07/2010,free transfer,01/07/2009
645,645,680,908,908,908,908,908,AC Ajaccio,Jean-Baptiste Pierazzi,07/06/1985,Central Midfield,Retired,01/07/2022,free transfer,01/07/2021
646,646,681,910,910,910,910,910,AC Ajaccio,Ferrugem,06/10/1980,Defensive Midfield,Retired,01/03/2013,free transfer,01/07/2012
647,647,682,913,913,913,913,913,AC Ajaccio,Fabien Laurenti,06/01/1983,Right-Back,Retired,01/07/2015,free transfer,26/07/2014
648,648,683,915,915,915,915,915,AC Ajaccio,Anthony Baron,09/04/1986,Left-Back,Retired,01/07/2009,free transfer,01/07/2008
649,649,684,916,916,916,916,916,AC Ajaccio,Martial Robin,27/08/1977,Left-Back,Retired,01/07/2012,free transfer,01/07/2010
650,650,685,917,917,917,917,917,AC Ajaccio,Xavier Collin,17/08/1974,Left-Back,Retired,01/07/2011,free transfer,01/07/2008
651,651,686,918,918,918,918,918,AC Ajaccio,Giany Joinville,01/07/1984,Centre-Back,US Pruniers,01/07/2018,free transfer,01/07/2017
652,652,687,920,920,920,920,920,AC Ajaccio,Nenad Dzodic,04/01/1977,Centre-Back,Retired,01/10/2011,free transfer,01/07/2007
653,653,688,921,921,921,921,921,AC Ajaccio,Frédéric Danjou,28/09/1974,Centre-Back,Retired,01/07/2009,-,01/07/2008
654,654,689,922,922,922,922,922,AC Ajaccio,Antônio Carlos,22/06/1983,Centre-Back,Olaria AC,02/09/2020,-,03/06/2019
655,655,690,924,924,924,924,924,AC Ajaccio,Stéphane Trévisan,27/03/1974,Goalkeeper,Retired,01/07/2010,free transfer,01/07/2007
656,656,691,927,927,927,927,927,ESTAC Troyes,Christian Nadé,18/09/1984,Centre-Forward,Annbank United,18/11/2020,free transfer,07/07/2020
657,657,692,930,930,930,930,930,ESTAC Troyes,Sébastien Grax,23/06/1984,Centre-Forward,Retired,01/07/2014,-,01/01/2011
658,658,693,931,931,931,931,931,ESTAC Troyes,Ali Zitouni,11/01/1981,Right Winger,Retired,01/07/2018,free transfer,06/10/2017
659,659,694,932,932,932,932,932,ESTAC Troyes,Ibrahima Bangoura,08/12/1982,Right Winger,Retired,01/07/2014,-,11/12/2013
660,660,695,934,934,934,934,934,ESTAC Troyes,Gaël Danic,19/11/1981,Left Winger,Retired,01/07/2021,free transfer,02/07/2019
661,661,696,935,935,935,935,935,ESTAC Troyes,Nicolas Florentin,16/02/1978,Left Winger,Retired,01/07/2012,free transfer,01/07/2010
662,662,697,936,936,936,936,936,ESTAC Troyes,Benjamin Nivet,02/01/1977,Attacking Midfield,Retired,01/07/2019,free transfer,01/07/2012
663,663,698,937,937,937,937,937,ESTAC Troyes,Gharib Amzine,03/05/1973,Left Midfield,Retired,01/07/2009,free transfer,01/07/2008
664,664,699,938,938,938,938,938,ESTAC Troyes,Branko Boskovic,21/06/1980,Central Midfield,Retired,01/07/2014,-,19/01/2013
665,665,700,939,939,939,939,939,ESTAC Troyes,Blaise Matuidi,09/04/1987,Central Midfield,Miami,13/08/2020,€25.00m,18/08/2017
666,666,701,942,942,942,942,942,ESTAC Troyes,Frédéric Adam,11/08/1973,Defensive Midfield,Retired,01/07/2008,free transfer,01/07/2006
667,667,702,943,943,943,943,943,ESTAC Troyes,Éloge Enza-Yamissi,23/01/1983,Defensive Midfield,Retired,01/07/2022,free transfer,01/07/2020
668,668,703,946,946,946,946,946,ESTAC Troyes,Stéphen Drouin,27/02/1984,Left-Back,Retired,01/07/2015,free transfer,08/09/2010
669,669,704,949,949,949,949,949,ESTAC Troyes,Gaël Sanz,01/05/1977,Centre-Back,Retired,01/07/2011,free transfer,01/07/2002
670,670,705,950,950,950,950,950,ESTAC Troyes,Auriol Guillaume,14/10/1979,Centre-Back,Retired,01/07/2012,-,01/10/2011
671,671,706,951,951,951,951,951,ESTAC Troyes,Ibrahima Faye,22/10/1979,Centre-Back,O Charleville,01/07/2017,-,01/01/2014
672,672,707,952,952,952,952,952,ESTAC Troyes,Alexandre Dujeux,08/01/1976,Centre-Back,Retired,01/07/2010,free transfer,01/07/2008
673,673,708,953,953,953,953,953,ESTAC Troyes,Carl Tourenne,10/06/1972,Centre-Back,Retired,01/07/2011,free transfer,01/07/2009
674,674,709,954,954,954,954,954,ESTAC Troyes,Florian Boucansaud,15/02/1981,Centre-Back,Retired,31/03/2017,-,06/08/2010
675,675,710,955,955,955,955,955,ESTAC Troyes,Blaise Kouassi,02/02/1975,Centre-Back,Retired,01/07/2009,free transfer,01/07/2007
676,676,711,957,957,957,957,957,ESTAC Troyes,Quentin Westberg,25/04/1986,Goalkeeper,Toronto,25/02/2019,-,01/01/2023
677,677,712,962,962,962,962,962,AS Nancy-Lorraine,Kim,22/06/1980,Centre-Forward,Retired,01/01/2017,?,06/02/2014
678,678,713,963,963,963,963,963,AS Nancy-Lorraine,Gastón Curbelo,08/04/1976,Centre-Forward,Retired,01/07/2010,?,01/07/2000
679,679,714,964,964,964,964,964,AS Nancy-Lorraine,Elie Kroupi,18/10/1979,Centre-Forward,Retired,01/01/2011,free transfer,01/10/2010
680,680,715,965,965,965,965,965,AS Nancy-Lorraine,Romain Chouleur,10/01/1986,Left Winger,Retired,01/07/2017,free transfer,01/07/2016
681,681,716,966,966,966,966,966,AS Nancy-Lorraine,Adrián Sarkisian,13/02/1979,Left Midfield,Retired,01/07/2008,€1.00m,01/07/2005
682,682,717,967,967,967,967,967,AS Nancy-Lorraine,Monsef Zerka,30/08/1981,Right Midfield,Retired,01/01/2015,-,23/01/2013
683,683,718,968,968,968,968,968,AS Nancy-Lorraine,Benjamin Gavanon,09/08/1980,Central Midfield,Retired,01/07/2014,free transfer,31/01/2014
684,684,719,969,969,969,969,969,AS Nancy-Lorraine,Abdoulaye Keita,23/10/1978,Defensive Midfield,Unknown,01/07/2014,free transfer,01/07/2010
685,685,720,970,970,970,970,970,AS Nancy-Lorraine,Landry N'Guémo,28/11/1985,Defensive Midfield,Retired,06/05/2020,-,01/01/2020
686,686,721,971,971,971,971,971,AS Nancy-Lorraine,Pascal Berenguer,20/05/1981,Defensive Midfield,Retired,11/11/2015,free transfer,01/07/2013
687,687,722,973,973,973,973,973,AS Nancy-Lorraine,Romain Wingerter,28/02/1986,,CS&O Blénod PaM,09/07/2011,free transfer,01/07/2007
688,688,723,974,974,974,974,974,AS Nancy-Lorraine,Stéphane Marseille,15/04/1987,midfield,Retired,30/06/2012,free transfer,01/07/2008
689,689,724,976,976,976,976,976,AS Nancy-Lorraine,Adailton,26/12/1979,Right-Back,Retired,01/10/2008,free transfer,01/07/2005
690,690,726,978,978,978,978,978,AS Nancy-Lorraine,Jonathan Brison,07/02/1983,Left-Back,Retired,06/08/2018,free transfer,01/07/2016
691,691,727,979,979,979,979,979,AS Nancy-Lorraine,Frédéric Biancalani,21/07/1974,Left-Back,Retired,01/07/2011,-,01/09/2010
692,692,728,980,980,980,980,980,AS Nancy-Lorraine,Jérémy Sapina,01/02/1985,Centre-Back,Retired,02/01/2017,free transfer,07/09/2016
693,693,729,982,982,982,982,982,AS Nancy-Lorraine,Cédric Lecluse,29/03/1972,Centre-Back,Retired,01/07/2008,free transfer,01/07/2007
694,694,730,983,983,983,983,983,AS Nancy-Lorraine,André Luiz,27/01/1980,Centre-Back,Retired,01/01/2014,-,06/03/2013
695,695,731,984,984,984,984,984,AS Nancy-Lorraine,Pape Diakhaté,21/06/1984,Centre-Back,Retired,12/10/2017,-,01/07/2017
696,696,732,985,985,985,985,985,AS Nancy-Lorraine,Sébastien Puygrenier,28/01/1982,Centre-Back,Retired,11/01/2018,free transfer,08/07/2016
697,697,733,988,988,988,988,988,AS Nancy-Lorraine,Olivier Sorin,16/04/1981,Goalkeeper,Retired,01/07/2016,free transfer,01/07/2014
698,698,734,989,989,989,989,989,AS Nancy-Lorraine,Gennaro Bracigliano,01/03/1980,Goalkeeper,Retired,01/07/2019,free transfer,01/07/2016
699,699,735,990,990,990,990,990,FC Metz,Papiss Cissé,03/06/1985,Centre-Forward,Amiens SC,01/09/2022,-,08/02/2022
700,700,736,991,991,991,991,991,FC Metz,Ruslan Pimenov,25/11/1981,Centre-Forward,Retired,01/05/2010,free transfer,01/01/2010
701,701,737,992,992,992,992,992,FC Metz,Babacar Guèye,02/03/1986,Centre-Forward,Retired,01/01/2020,free transfer,02/03/2019
702,702,738,993,993,993,993,993,FC Metz,Hervé Tum,15/02/1979,Centre-Forward,Retired,01/07/2013,free transfer,01/02/2013
703,703,739,994,994,994,994,994,FC Metz,Souleymane Youla,29/11/1981,Centre-Forward,Piliscsaba,09/07/2020,-,01/07/2019
704,704,740,995,995,995,995,995,FC Metz,Marcin Zewlakow,22/04/1976,Centre-Forward,Retired,26/02/2013,free transfer,01/07/2012
705,705,741,997,997,997,997,997,FC Metz,Nicolas Farina,09/08/1986,Right Winger,Without Club,01/07/2018,free transfer,07/01/2016
706,706,742,998,998,998,998,998,FC Metz,Roy Contout,11/02/1985,Right Winger,Without Club,01/07/2016,free transfer,23/08/2015
707,707,743,999,999,999,999,999,FC Metz,Momar N'Diaye,13/07/1987,Right Winger,FC Rodange 91,01/07/2019,End of loan,30/06/2019
708,708,744,1001,1001,1001,1001,1001,FC Metz,Ludovic Obraniak,10/11/1984,Attacking Midfield,Retired,04/10/2018,-,01/07/2018
709,709,745,1002,1002,1002,1002,1002,FC Metz,Szabolcs Huszti,18/04/1983,Left Midfield,Retired,01/07/2020,free transfer,05/02/2018
710,710,746,1003,1003,1003,1003,1003,FC Metz,Sébastien Renouard,11/07/1984,Right Midfield,Retired,01/07/2015,free transfer,01/07/2013
711,711,747,1004,1004,1004,1004,1004,FC Metz,Laurent Agouazi,16/03/1984,Defensive Midfield,Retired,01/07/2020,?,21/01/2019
712,712,748,1006,1006,1006,1006,1006,FC Metz,Stéphane Morisot,11/01/1978,Defensive Midfield,Retired,01/07/2013,free transfer,01/07/2011
713,713,749,1007,1007,1007,1007,1007,FC Metz,Dino Djiba,20/12/1985,Defensive Midfield,Retired,01/04/2010,free transfer,01/01/2010
714,714,750,1008,1008,1008,1008,1008,FC Metz,Carl Medjani,15/05/1985,Defensive Midfield,Salaise Rhodia,12/02/2022,-,01/08/2020
715,715,751,1009,1009,1009,1009,1009,FC Metz,Grégory Leca,22/08/1980,Defensive Midfield,Retired,01/07/2013,?,23/08/2005
716,716,752,1010,1010,1010,1010,1010,FC Metz,Grégory Proment,10/12/1978,Defensive Midfield,Retired,01/07/2013,free transfer,01/07/2012
717,717,753,1012,1012,1012,1012,1012,FC Metz,Jamal Alioui,02/06/1982,Right-Back,Retired,01/07/2016,free transfer,01/07/2013
718,718,754,1013,1013,1013,1013,1013,FC Metz,Samuel Allegro,14/03/1978,Right-Back,Retired,01/07/2018,?,28/07/2016
719,719,755,1014,1014,1014,1014,1014,FC Metz,Franck Béria,23/05/1983,Right-Back,Retired,01/07/2017,free transfer,01/07/2007
720,720,756,1015,1015,1015,1015,1015,FC Metz,Jin-ouk Kang,13/02/1986,Left-Back,Local club FA,01/01/2019,?,01/06/2017
721,721,757,1019,1019,1019,1019,1019,FC Metz,Baptiste Schmisser,26/02/1986,Centre-Back,RoeselareDaisel,01/07/2022,free transfer,01/07/2021
722,722,758,1021,1021,1021,1021,1021,FC Metz,Sébastien Bassong,09/07/1986,Centre-Back,Retired,01/01/2020,free transfer,24/07/2019
723,723,759,1024,1024,1024,1024,1024,FC Metz,Stéphane Borbiconi,22/03/1979,Centre-Back,Retired,01/07/2011,End of loan,30/06/2011
