,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
865,865,865,865,Chelsea FC,Eidur Gudjohnsen,15/09/1978,Centre-Forward,Retired,09/10/2017,-,26/09/2016
866,866,866,866,Chelsea FC,Hernán Crespo,05/07/1975,Centre-Forward,Retired,01/01/2012,free transfer,29/01/2010
867,867,867,867,Chelsea FC,Didier Drogba,11/03/1978,Centre-Forward,Retired,12/01/2018,-,12/04/2017
868,868,868,868,Chelsea FC,Shaun Wright-Phillips,25/10/1981,Right Winger,Retired,08/24/2019,-,01/12/2017
869,869,869,869,Chelsea FC,Arjen Robben,23/01/1984,Right Winger,Retired,07/15/2021,-,01/07/2020
870,870,870,870,Chelsea FC,Joe Cole,08/11/1981,Attacking Midfield,Retired,12/01/2018,free transfer,09/05/2016
871,871,871,871,Chelsea FC,Filipe Morais,21/11/1985,Right Midfield,Retired,,-,24/11/2021
872,872,872,872,Chelsea FC,Njitap Geremi,20/12/1978,Right Midfield,Retired,01/01/2011,free transfer,01/08/2010
873,873,873,873,Chelsea FC,Damien Duff,02/03/1979,Right Midfield,Retired,01/01/2016,free transfer,14/07/2015
874,874,874,874,Chelsea FC,Jimmy Smith,07/01/1987,Central Midfield,Retired,,free transfer,27/08/2020
875,875,875,875,Chelsea FC,Tiago Mendes,02/05/1981,Central Midfield,Retired,07/14/2017,free transfer,20/07/2011
876,876,876,876,Chelsea FC,Maniche,11/11/1977,Central Midfield,Retired,07/01/2011,free transfer,01/07/2010
877,877,877,877,Chelsea FC,Frank Lampard,20/06/1978,Central Midfield,Retired,02/02/2017,End of loan,30/06/2015
878,878,878,878,Chelsea FC,Lassana Diarra,10/03/1985,Defensive Midfield,Retired,02/08/2019,free transfer,23/01/2018
879,879,879,879,Chelsea FC,Claude Makélélé,18/02/1973,Defensive Midfield,Retired,,free transfer,21/07/2008
880,880,880,880,Chelsea FC,Michael Essien,03/12/1982,Defensive Midfield,Retired,09/09/2020,-,16/03/2019
881,881,881,881,Chelsea FC,Glen Johnson,23/08/1984,Right-Back,Retired,01/21/2019,-,01/07/2018
882,882,882,882,Chelsea FC,Paulo Ferreira,18/01/1979,Right-Back,Retired,07/01/2013,€20.00m,01/07/2004
883,883,883,883,Chelsea FC,Asier del Horno,19/01/1981,Left-Back,Retired,07/01/2012,free transfer,01/07/2011
884,884,884,884,Chelsea FC,Michael Mancienne,08/01/1988,Centre-Back,Burton Albion,02/09/2021,-,01/01/2021
885,885,885,885,Chelsea FC,Robert Huth,18/08/1984,Centre-Back,Retired,07/01/2018,€4.20m,01/07/2015
886,886,886,886,Chelsea FC,William Gallas,17/08/1977,Centre-Back,Retired,10/16/2014,-,01/07/2014
887,887,887,887,Chelsea FC,Ricardo Carvalho,18/05/1978,Centre-Back,Retired,01/01/2018,-,02/02/2017
888,888,888,888,Chelsea FC,John Terry,07/12/1980,Centre-Back,Retired,07/01/2018,free transfer,01/07/2017
889,889,889,889,Chelsea FC,Yves Makabu-Makalambay,31/01/1986,Goalkeeper,Retired,07/01/2019,-,02/10/2017
890,890,890,890,Chelsea FC,Lenny Pidgeley,07/02/1984,Goalkeeper,Retired,,free transfer,01/07/2018
891,891,891,891,Chelsea FC,Carlo Cudicini,06/09/1973,Goalkeeper,Retired,07/01/2014,-,01/01/2014
892,892,892,892,Chelsea FC,Petr Cech,20/05/1982,Goalkeeper,Retired,07/01/2019,€14.00m,01/07/2015
893,893,893,893,AC Ajaccio,Dimitri Lesueur,25/01/1987,Centre-Forward,Bocognano,08/01/2022,-,01/07/2019
894,894,894,894,AC Ajaccio,Édson Marcelo de Faria,08/02/1979,Centre-Forward,Retired,,-,01/01/2012
895,895,895,895,AC Ajaccio,Matthieu Scarpelli,23/07/1981,Centre-Forward,Retired,07/01/2017,free transfer,01/07/2015
896,896,896,896,AC Ajaccio,Jean-Jacques Mandrichi,03/06/1984,Centre-Forward,Vence,07/01/2020,free transfer,01/07/2019
897,897,897,897,AC Ajaccio,Kaba Diawara,16/12/1975,Centre-Forward,Retired,07/01/2011,free transfer,01/07/2009
898,898,898,898,AC Ajaccio,Rafik Saïfi,07/02/1975,Centre-Forward,Retired,07/01/2012,-,04/11/2010
899,899,899,899,AC Ajaccio,Lucas Pereira,05/02/1982,Centre-Forward,,,?,01/07/2011
900,900,900,900,AC Ajaccio,Djamel Abdoun,14/02/1986,Right Winger,Retired,,free transfer,05/08/2015
901,901,901,901,AC Ajaccio,Moussa N'Diaye,20/02/1979,Right Winger,Retired,07/01/2015,free transfer,03/12/2010
902,902,902,902,AC Ajaccio,Xavier Bécas,31/05/1979,attack,Retired,07/01/2013,free transfer,01/07/2007
903,903,903,903,AC Ajaccio,Laurent Merlin,17/09/1984,Attacking Midfield,Without Club,,-,01/07/2015
904,904,904,904,AC Ajaccio,Stéphane Ziani,09/12/1971,Attacking Midfield,Retired,07/01/2006,free transfer,01/07/2005
905,905,905,905,AC Ajaccio,Kamel Chafni,11/06/1982,Attacking Midfield,Retired,07/03/2021,free transfer,01/08/2020
906,906,906,906,AC Ajaccio,André Luiz,14/11/1974,Attacking Midfield,Retired,,free transfer,01/07/2009
907,907,907,907,AC Ajaccio,Christophe Bastien,09/03/1976,Right Midfield,Retired,07/01/2010,free transfer,01/07/2009
908,908,908,908,AC Ajaccio,Jean-Baptiste Pierazzi,07/06/1985,Central Midfield,Retired,07/01/2022,free transfer,01/07/2021
909,909,909,909,AC Ajaccio,Romain Rocchi,02/10/1981,Defensive Midfield,Retired,,free transfer,01/07/2013
910,910,910,910,AC Ajaccio,Ferrugem,06/10/1980,Defensive Midfield,Retired,03/01/2013,free transfer,01/07/2012
911,911,911,911,AC Ajaccio,Richard Suriano,28/01/1982,Right-Back,Retired,,free transfer,01/07/2012
912,912,912,912,AC Ajaccio,Daouda Jabi,10/04/1981,Right-Back,Retired,,-,05/12/2008
913,913,913,913,AC Ajaccio,Fabien Laurenti,06/01/1983,Right-Back,Retired,07/01/2015,free transfer,26/07/2014
914,914,914,914,AC Ajaccio,Jean-Toussaint Moretti,12/03/1980,Left-Back,Retired,,free transfer,01/07/2006
915,915,915,915,AC Ajaccio,Anthony Baron,09/04/1986,Left-Back,Retired,07/01/2009,free transfer,01/07/2008
916,916,916,916,AC Ajaccio,Martial Robin,27/08/1977,Left-Back,Retired,07/01/2012,free transfer,01/07/2010
917,917,917,917,AC Ajaccio,Xavier Collin,17/08/1974,Left-Back,Retired,07/01/2011,free transfer,01/07/2008
918,918,918,918,AC Ajaccio,Giany Joinville,01/07/1984,Centre-Back,US Pruniers,07/01/2018,free transfer,01/07/2017
919,919,919,919,AC Ajaccio,Franklin Anzité,02/11/1985,Centre-Back,Without Club,,free transfer,01/07/2021
920,920,920,920,AC Ajaccio,Nenad Dzodic,04/01/1977,Centre-Back,Retired,10/01/2011,free transfer,01/07/2007
921,921,921,921,AC Ajaccio,Frédéric Danjou,28/09/1974,Centre-Back,Retired,07/01/2009,-,01/07/2008
922,922,922,922,AC Ajaccio,Antônio Carlos,22/06/1983,Centre-Back,Olaria AC,09/02/2020,-,03/06/2019
923,923,923,923,AC Ajaccio,Florian Lucchini,13/02/1981,Goalkeeper,Retired,,free transfer,25/07/2012
924,924,924,924,AC Ajaccio,Stéphane Trévisan,27/03/1974,Goalkeeper,Retired,07/01/2010,free transfer,01/07/2007
925,925,925,925,AC Ajaccio,Stéphane Porato,12/09/1973,Goalkeeper,Retired,,free transfer,01/07/2007
926,926,926,926,ESTAC Troyes,Frank Boudard,28/01/1982,Centre-Forward,Retired,,free transfer,01/08/2014
927,927,927,927,ESTAC Troyes,Christian Nadé,18/09/1984,Centre-Forward,Annbank United,11/18/2020,free transfer,07/07/2020
928,928,928,928,ESTAC Troyes,Georges Ba,24/01/1979,Centre-Forward,Retired,,-,01/01/2011
929,929,929,929,ESTAC Troyes,Zied Jaziri,12/07/1978,Centre-Forward,Retired,,free transfer,01/07/2007
930,930,930,930,ESTAC Troyes,Sébastien Grax,23/06/1984,Centre-Forward,Retired,07/01/2014,-,01/01/2011
931,931,931,931,ESTAC Troyes,Ali Zitouni,11/01/1981,Right Winger,Retired,07/01/2018,free transfer,06/10/2017
932,932,932,932,ESTAC Troyes,Ibrahima Bangoura,08/12/1982,Right Winger,Retired,07/01/2014,-,11/12/2013
933,933,933,933,ESTAC Troyes,Sébastien Dallet,30/09/1973,Right Winger,Retired,,?,30/07/2003
934,934,934,934,ESTAC Troyes,Gaël Danic,19/11/1981,Left Winger,Retired,07/01/2021,free transfer,02/07/2019
935,935,935,935,ESTAC Troyes,Nicolas Florentin,16/02/1978,Left Winger,Retired,07/01/2012,free transfer,01/07/2010
936,936,936,936,ESTAC Troyes,Benjamin Nivet,02/01/1977,Attacking Midfield,Retired,07/01/2019,free transfer,01/07/2012
937,937,937,937,ESTAC Troyes,Gharib Amzine,03/05/1973,Left Midfield,Retired,07/01/2009,free transfer,01/07/2008
938,938,938,938,ESTAC Troyes,Branko Boskovic,21/06/1980,Central Midfield,Retired,07/01/2014,-,19/01/2013
939,939,939,939,ESTAC Troyes,Blaise Matuidi,09/04/1987,Central Midfield,Miami,08/13/2020,€25.00m,18/08/2017
940,940,940,940,ESTAC Troyes,Alassane N'Dour,12/12/1981,Defensive Midfield,Retired,,free transfer,01/07/2008
941,941,941,941,ESTAC Troyes,Cédric Faivre,08/04/1981,Defensive Midfield,Retired,,free transfer,01/07/2016
942,942,942,942,ESTAC Troyes,Frédéric Adam,11/08/1973,Defensive Midfield,Retired,07/01/2008,free transfer,01/07/2006
943,943,943,943,ESTAC Troyes,Éloge Enza-Yamissi,23/01/1983,Defensive Midfield,Retired,07/01/2022,free transfer,01/07/2020
944,944,944,944,ESTAC Troyes,Nabil Berkak,13/01/1984,Right-Back,Retired,,free transfer,15/06/2015
945,945,945,945,ESTAC Troyes,Jean-Louis Montero,28/04/1971,Right-Back,Retired,,free transfer,01/07/2008
946,946,946,946,ESTAC Troyes,Stéphen Drouin,27/02/1984,Left-Back,Retired,07/01/2015,free transfer,08/09/2010
947,947,947,947,ESTAC Troyes,Grégory Paisley,07/05/1977,Left-Back,Retired,,free transfer,01/07/2011
948,948,948,948,ESTAC Troyes,Sylvain Meslien,07/08/1980,Centre-Back,Retired,,free transfer,01/07/2012
949,949,949,949,ESTAC Troyes,Gaël Sanz,01/05/1977,Centre-Back,Retired,07/01/2011,free transfer,01/07/2002
950,950,950,950,ESTAC Troyes,Auriol Guillaume,14/10/1979,Centre-Back,Retired,07/01/2012,-,01/10/2011
951,951,951,951,ESTAC Troyes,Ibrahima Faye,22/10/1979,Centre-Back,O Charleville,07/01/2017,-,01/01/2014
952,952,952,952,ESTAC Troyes,Alexandre Dujeux,08/01/1976,Centre-Back,Retired,07/01/2010,free transfer,01/07/2008
953,953,953,953,ESTAC Troyes,Carl Tourenne,10/06/1972,Centre-Back,Retired,07/01/2011,free transfer,01/07/2009
954,954,954,954,ESTAC Troyes,Florian Boucansaud,15/02/1981,Centre-Back,Retired,03/31/2017,-,06/08/2010
955,955,955,955,ESTAC Troyes,Blaise Kouassi,02/02/1975,Centre-Back,Retired,07/01/2009,free transfer,01/07/2007
956,956,956,956,ESTAC Troyes,Romuald Peiser,03/08/1979,Goalkeeper,Retired,,-,06/03/2018
957,957,957,957,ESTAC Troyes,Quentin Westberg,25/04/1986,Goalkeeper,Toronto,02/25/2019,-,01/01/2023
958,958,958,958,ESTAC Troyes,Ronan Le Crom,13/07/1974,Goalkeeper,Retired,,-,12/01/2012
959,959,959,959,AS Nancy-Lorraine,Dagui Bakari,06/09/1974,Centre-Forward,Retired,,free transfer,04/08/2005
960,960,960,960,AS Nancy-Lorraine,Basile Camerling,19/04/1987,Centre-Forward,Retired,,End of loan,30/06/2018
961,961,961,961,AS Nancy-Lorraine,Gergely Rudolf,09/03/1985,Centre-Forward,Retired,,free transfer,07/02/2018
962,962,962,962,AS Nancy-Lorraine,Kim,22/06/1980,Centre-Forward,Retired,01/01/2017,?,06/02/2014
963,963,963,963,AS Nancy-Lorraine,Gastón Curbelo,08/04/1976,Centre-Forward,Retired,07/01/2010,?,01/07/2000
964,964,964,964,AS Nancy-Lorraine,Elie Kroupi,18/10/1979,Centre-Forward,Retired,01/01/2011,free transfer,01/10/2010
965,965,965,965,AS Nancy-Lorraine,Romain Chouleur,10/01/1986,Left Winger,Retired,07/01/2017,free transfer,01/07/2016
966,966,966,966,AS Nancy-Lorraine,Adrián Sarkisian,13/02/1979,Left Midfield,Retired,07/01/2008,€1.00m,01/07/2005
967,967,967,967,AS Nancy-Lorraine,Monsef Zerka,30/08/1981,Right Midfield,Retired,01/01/2015,-,23/01/2013
968,968,968,968,AS Nancy-Lorraine,Benjamin Gavanon,09/08/1980,Central Midfield,Retired,07/01/2014,free transfer,31/01/2014
969,969,969,969,AS Nancy-Lorraine,Abdoulaye Keita,23/10/1978,Defensive Midfield,Unknown,07/01/2014,free transfer,01/07/2010
970,970,970,970,AS Nancy-Lorraine,Landry N'Guémo,28/11/1985,Defensive Midfield,Retired,05/06/2020,-,01/01/2020
971,971,971,971,AS Nancy-Lorraine,Pascal Berenguer,20/05/1981,Defensive Midfield,Retired,11/11/2015,free transfer,01/07/2013
972,972,972,972,AS Nancy-Lorraine,Emmanuel Duchemin,14/03/1979,Defensive Midfield,Retired,,free transfer,01/07/2003
973,973,973,973,AS Nancy-Lorraine,Romain Wingerter,28/02/1986,,CS&O Blénod PaM,07/09/2011,free transfer,01/07/2007
974,974,974,974,AS Nancy-Lorraine,Stéphane Marseille,15/04/1987,midfield,Retired,06/30/2012,free transfer,01/07/2008
975,975,975,975,AS Nancy-Lorraine,Patrick N'Tolla,30/07/1987,Right-Back,Unknown,,?,01/07/2015
976,976,976,976,AS Nancy-Lorraine,Adailton,26/12/1979,Right-Back,Retired,10/01/2008,free transfer,01/07/2005
977,977,977,977,AS Nancy-Lorraine,Mickaël Chrétien Basser,10/07/1984,Right-Back,Retired,-,-,01/07/2018
978,978,978,978,AS Nancy-Lorraine,Jonathan Brison,07/02/1983,Left-Back,Retired,08/06/2018,free transfer,01/07/2016
979,979,979,979,AS Nancy-Lorraine,Frédéric Biancalani,21/07/1974,Left-Back,Retired,07/01/2011,-,01/09/2010
980,980,980,980,AS Nancy-Lorraine,Jérémy Sapina,01/02/1985,Centre-Back,Retired,01/02/2017,free transfer,07/09/2016
981,981,981,981,AS Nancy-Lorraine,Manuel da Costa,06/05/1986,Centre-Back,Without Club,,free transfer,01/07/2022
982,982,982,982,AS Nancy-Lorraine,Cédric Lecluse,29/03/1972,Centre-Back,Retired,07/01/2008,free transfer,01/07/2007
983,983,983,983,AS Nancy-Lorraine,André Luiz,27/01/1980,Centre-Back,Retired,01/01/2014,-,06/03/2013
984,984,984,984,AS Nancy-Lorraine,Pape Diakhaté,21/06/1984,Centre-Back,Retired,10/12/2017,-,01/07/2017
985,985,985,985,AS Nancy-Lorraine,Sébastien Puygrenier,28/01/1982,Centre-Back,Retired,01/11/2018,free transfer,08/07/2016
986,986,986,986,AS Nancy-Lorraine,Benjamin Brat,10/01/1986,Defender,Retired,,free transfer,01/07/2011
987,987,987,987,AS Nancy-Lorraine,Johan Lapeyre,03/08/1985,Goalkeeper,Retired,,free transfer,01/07/2019
988,988,988,988,AS Nancy-Lorraine,Olivier Sorin,16/04/1981,Goalkeeper,Retired,07/01/2016,free transfer,01/07/2014
989,989,989,989,AS Nancy-Lorraine,Gennaro Bracigliano,01/03/1980,Goalkeeper,Retired,07/01/2019,free transfer,01/07/2016
990,990,990,990,FC Metz,Papiss Cissé,03/06/1985,Centre-Forward,Amiens SC,09/01/2022,-,08/02/2022
991,991,991,991,FC Metz,Ruslan Pimenov,25/11/1981,Centre-Forward,Retired,05/01/2010,free transfer,01/01/2010
992,992,992,992,FC Metz,Babacar Guèye,02/03/1986,Centre-Forward,Retired,01/01/2020,free transfer,02/03/2019
993,993,993,993,FC Metz,Hervé Tum,15/02/1979,Centre-Forward,Retired,07/01/2013,free transfer,01/02/2013
994,994,994,994,FC Metz,Souleymane Youla,29/11/1981,Centre-Forward,Piliscsaba,07/09/2020,-,01/07/2019
995,995,995,995,FC Metz,Marcin Zewlakow,22/04/1976,Centre-Forward,Retired,02/26/2013,free transfer,01/07/2012
996,996,996,996,FC Metz,Jung-hwan Ahn,27/01/1976,Second Striker,Retired,,free transfer,01/03/2009
997,997,997,997,FC Metz,Nicolas Farina,09/08/1986,Right Winger,Without Club,07/01/2018,free transfer,07/01/2016
998,998,998,998,FC Metz,Roy Contout,11/02/1985,Right Winger,Without Club,07/01/2016,free transfer,23/08/2015
999,999,999,999,FC Metz,Momar N'Diaye,13/07/1987,Right Winger,FC Rodange 91,07/01/2019,End of loan,30/06/2019
1000,1000,1000,1000,FC Metz,Abdelnasser Ouadah,13/09/1975,Left Winger,Retired,,free transfer,01/07/2010
1001,1001,1001,1001,FC Metz,Ludovic Obraniak,10/11/1984,Attacking Midfield,Retired,10/04/2018,-,01/07/2018
1002,1002,1002,1002,FC Metz,Szabolcs Huszti,18/04/1983,Left Midfield,Retired,07/01/2020,free transfer,05/02/2018
1003,1003,1003,1003,FC Metz,Sébastien Renouard,11/07/1984,Right Midfield,Retired,07/01/2015,free transfer,01/07/2013
1004,1004,1004,1004,FC Metz,Laurent Agouazi,16/03/1984,Defensive Midfield,Retired,07/01/2020,?,21/01/2019
1005,1005,1005,1005,FC Metz,Mamadou Diakité,22/05/1985,Defensive Midfield,Retired,,free transfer,15/08/2016
1006,1006,1006,1006,FC Metz,Stéphane Morisot,11/01/1978,Defensive Midfield,Retired,07/01/2013,free transfer,01/07/2011
1007,1007,1007,1007,FC Metz,Dino Djiba,20/12/1985,Defensive Midfield,Retired,04/01/2010,free transfer,01/01/2010
1008,1008,1008,1008,FC Metz,Carl Medjani,15/05/1985,Defensive Midfield,Salaise Rhodia,02/12/2022,-,01/08/2020
1009,1009,1009,1009,FC Metz,Grégory Leca,22/08/1980,Defensive Midfield,Retired,07/01/2013,?,23/08/2005
1010,1010,1010,1010,FC Metz,Grégory Proment,10/12/1978,Defensive Midfield,Retired,07/01/2013,free transfer,01/07/2012
1011,1011,1011,1011,FC Metz,Cheriffe Maman-Touré,13/01/1978,midfield,Retired,,free transfer,01/12/2007
1012,1012,1012,1012,FC Metz,Jamal Alioui,02/06/1982,Right-Back,Retired,07/01/2016,free transfer,01/07/2013
1013,1013,1013,1013,FC Metz,Samuel Allegro,14/03/1978,Right-Back,Retired,07/01/2018,?,28/07/2016
1014,1014,1014,1014,FC Metz,Franck Béria,23/05/1983,Right-Back,Retired,07/01/2017,free transfer,01/07/2007
1015,1015,1015,1015,FC Metz,Jin-ouk Kang,13/02/1986,Left-Back,Local club FA,01/01/2019,?,01/06/2017
1016,1016,1016,1016,FC Metz,Flavien Belson,22/02/1987,Left-Back,Retired,,-,01/01/2014
1017,1017,1017,1017,FC Metz,Gaëtan Bong,25/04/1988,Left-Back,Without Club,,€500Th.,30/01/2020
1018,1018,1018,1018,FC Metz,Hemza Mihoubi,13/01/1986,Left-Back,Retired,,free transfer,06/08/2021
1019,1019,1019,1019,FC Metz,Baptiste Schmisser,26/02/1986,Centre-Back,RoeselareDaisel,07/01/2022,free transfer,01/07/2021
1020,1020,1020,1020,FC Metz,Bruno Pompière,10/06/1980,Centre-Back,Retired,,?,01/07/2008
1021,1021,1021,1021,FC Metz,Sébastien Bassong,09/07/1986,Centre-Back,Retired,01/01/2020,free transfer,24/07/2019
1022,1022,1022,1022,FC Metz,Mehdi Méniri,29/06/1977,Centre-Back,Retired,,free transfer,01/09/2010
1023,1023,1023,1023,FC Metz,Sylvain Marchal,10/02/1980,Centre-Back,Retired,,free transfer,05/07/2013
1024,1024,1024,1024,FC Metz,Stéphane Borbiconi,22/03/1979,Centre-Back,Retired,07/01/2011,End of loan,30/06/2011
1025,1025,1025,1025,FC Metz,Joris Delle,29/03/1990,Goalkeeper,KV Kortrijk,07/01/2021,-,15/10/2020
1026,1026,1026,1026,FC Metz,Joslain Mayebi,14/10/1986,Goalkeeper,Eding Sport FC,02/27/2019,-,03/10/2018
1027,1027,1027,1027,FC Metz,Vincent Degrè,03/01/1989,Goalkeeper,Retired,,free transfer,01/07/2013
1028,1028,1028,1028,FC Metz,Christophe Marichez,12/12/1974,Goalkeeper,Retired,07/01/2011,?,29/07/2005
1029,1029,1029,1029,FC Metz,Kossi Agassa,02/07/1978,Goalkeeper,Retired,07/01/2017,-,01/07/2016
1030,1030,1030,1030,FC Metz,Grégory Wimbée,19/08/1971,Goalkeeper,Retired,07/01/2011,free transfer,01/08/2009
1031,1031,1031,1031,Le Mans Union Club 72,Edo,20/05/1984,Centre-Forward,FC Vallorbe,01/01/2019,free transfer,01/02/2017
1032,1032,1032,1032,Le Mans Union Club 72,Cédric Fauré,14/02/1979,Centre-Forward,Retired,07/01/2021,-,01/01/2020
1033,1033,1033,1033,Le Mans Union Club 72,Grafite,02/04/1979,Centre-Forward,Retired,01/22/2018,-,11/08/2017
1034,1034,1034,1034,Le Mans Union Club 72,Ismaël Bangoura,02/01/1985,Centre-Forward,Al-Taraji,09/29/2020,free transfer,05/11/2019
1035,1035,1035,1035,Le Mans Union Club 72,Túlio de Melo,31/01/1985,Centre-Forward,Retired,05/08/2019,-,13/06/2018
1036,1036,1036,1036,Le Mans Union Club 72,Chiguy Lucau,04/08/1984,Right Winger,Retired,,-,01/01/2013
1037,1037,1037,1037,Le Mans Union Club 72,James Fanchone,21/02/1980,Right Winger,Retired,07/01/2014,free transfer,01/07/2011
1038,1038,1038,1038,Le Mans Union Club 72,Martin Douillard,20/03/1985,Left Winger,Aurillac-Arpaj.,07/01/2018,free transfer,01/07/2016
1039,1039,1039,1039,Le Mans Union Club 72,Davide Chiumiento,22/11/1984,Attacking Midfield,Retired,07/01/2017,€300Th.,11/07/2012
1040,1040,1040,1040,Le Mans Union Club 72,Daisuke Matsui,11/05/1981,Left Midfield,Yokohama SCC,01/21/2022,-,01/09/2021
1041,1041,1041,1041,Le Mans Union Club 72,Luigi Lavecchia,25/08/1981,Right Midfield,Retired,07/01/2015,?,02/02/2013
1042,1042,1042,1042,Le Mans Union Club 72,Guillaume Loriot,21/05/1986,Central Midfield,Retired,,free transfer,01/07/2017
1043,1043,1043,1043,Le Mans Union Club 72,Yohan Hautcoeur,30/10/1981,Central Midfield,Retired,07/01/2015,free transfer,09/07/2013
1044,1044,1044,1044,Le Mans Union Club 72,Frédéric Thomas,10/08/1980,Central Midfield,Retired,07/01/2018,-,11/02/2018
1045,1045,1045,1045,Le Mans Union Club 72,Bertrand Ndzomo,18/06/1985,Defensive Midfield,FC Forward,07/05/2019,free transfer,08/07/2018
1046,1046,1046,1046,Le Mans Union Club 72,Sébastien Gormond,29/01/1982,Defensive Midfield,Retired,,free transfer,11/02/2015
1047,1047,1047,1047,Le Mans Union Club 72,Jacques-Désiré Périatambée,15/10/1975,Defensive Midfield,Retired,,free transfer,11/01/2010
1048,1048,1048,1048,Le Mans Union Club 72,Romaric,04/06/1983,Defensive Midfield,Retired,,free transfer,14/08/2016
1049,1049,1049,1049,Le Mans Union Club 72,Arnaud Lisembart,29/12/1984,Right-Back,Retired,,free transfer,01/07/2014
1050,1050,1050,1050,Le Mans Union Club 72,Laurent Bonnart,25/12/1979,Right-Back,Retired,07/01/2015,free transfer,22/07/2014
1051,1051,1051,1051,Le Mans Union Club 72,Olivier Thomas,06/10/1974,Left-Back,Retired,07/01/2009,free transfer,01/11/2008
1052,1052,1052,1052,Le Mans Union Club 72,Jérémy Choplin,09/02/1985,Centre-Back,G. Ajaccio,08/03/2021,?,12/01/2020
1053,1053,1053,1053,Le Mans Union Club 72,Clément Pinault,04/02/1985,Centre-Back,,,End of loan,30/06/2007
1054,1054,1054,1054,Le Mans Union Club 72,Grégory Cerdan,28/07/1982,Centre-Back,Retired,07/01/2016,-,09/09/2014
1055,1055,1055,1055,Le Mans Union Club 72,Yannick Fischer,17/12/1974,Centre-Back,Retired,,free transfer,01/07/2007
1056,1056,1056,1056,Le Mans Union Club 72,Yoann Poulard,01/07/1976,Centre-Back,Retired,07/01/2013,free transfer,01/07/2009
1057,1057,1057,1057,Le Mans Union Club 72,Marko Basa,29/12/1982,Centre-Back,Retired,07/01/2017,€1.50m,01/07/2011
1058,1058,1058,1058,Le Mans Union Club 72,Thibault Ferrand,26/03/1986,Goalkeeper,Retired,,free transfer,01/07/2013
1059,1059,1059,1059,Le Mans Union Club 72,Rodolphe Roche,14/06/1979,Goalkeeper,Retired,07/01/2016,free transfer,19/08/2015
1060,1060,1060,1060,Le Mans Union Club 72,Yohann Pelé,04/11/1982,Goalkeeper,Retired,07/01/2021,free transfer,01/07/2015
1061,1061,1061,1061,OGC Nice,Kamel Larbi,20/02/1985,Centre-Forward,JS Beaulieu,08/01/2018,-,12/01/2017
1062,1062,1062,1062,OGC Nice,Olivier Fauconnier,22/06/1976,Centre-Forward,Retired,,-,01/07/2010
1063,1063,1063,1063,OGC Nice,Mamadou Bagayoko,21/05/1979,Centre-Forward,Retired,,-,01/01/2013
1064,1064,1064,1064,OGC Nice,David Bellion,27/11/1982,Centre-Forward,Retired,07/01/2016,free transfer,02/07/2014
1065,1065,1065,1065,OGC Nice,Marama Vahirua,12/05/1980,Centre-Forward,Retired,07/01/2020,free transfer,14/09/2017
1066,1066,1066,1066,OGC Nice,Souleymane Camara,22/12/1982,Right Winger,Retired,07/01/2020,€500Th.,01/07/2008
1067,1067,1067,1067,OGC Nice,Bakari Koné,17/09/1981,Right Winger,Retired,,-,01/07/2016
1068,1068,1068,1068,OGC Nice,Mickaël Buscher,11/01/1987,Left Winger,Cap d'Ail,07/01/2020,free transfer,01/07/2018
1069,1069,1069,1069,OGC Nice,Fabien Lamatina,03/07/1985,Left Winger,Retired,07/01/2019,free transfer,01/07/2016
1070,1070,1070,1070,OGC Nice,Ederson,13/01/1986,Attacking Midfield,Retired,,free transfer,21/07/2015
1071,1071,1071,1071,OGC Nice,Sébastien Roudet,16/06/1981,Attacking Midfield,Retired,07/01/2021,-,01/07/2020
1072,1072,1072,1072,OGC Nice,Yoann Bigné,23/08/1977,Central Midfield,Retired,,?,01/07/2014
1073,1073,1073,1073,OGC Nice,Florent Balmont,02/02/1980,Central Midfield,Retired,07/01/2020,free transfer,08/07/2016
1074,1074,1074,1074,OGC Nice,Franco Dolci,01/01/1984,Defensive Midfield,Retired,,free transfer,21/08/2017
1075,1075,1075,1075,OGC Nice,Roberto Bisconti,21/07/1973,Defensive Midfield,RFC Bressoux,07/01/2018,?,01/07/2012
1076,1076,1076,1076,OGC Nice,Olivier Echouafni,13/09/1972,Defensive Midfield,Retired,07/01/2010,free transfer,29/08/2003
1077,1077,1077,1077,OGC Nice,François Grenet,08/03/1975,Right-Back,Retired,07/01/2008,free transfer,01/07/2006
1078,1078,1078,1078,OGC Nice,Rod Fanni,06/12/1981,Right-Back,Retired,01/01/2021,-,26/08/2019
1079,1079,1079,1079,OGC Nice,Bill Tchato,14/05/1975,Left-Back,Retired,07/01/2012,free transfer,01/07/2011
1080,1080,1080,1080,OGC Nice,Cyril Rool,15/04/1975,Left-Back,Retired,,€400Th.,14/07/2009
1081,1081,1081,1081,OGC Nice,Drissa Diakité,18/02/1985,Centre-Back,FC Lucciana,09/22/2020,-,01/07/2019
1082,1082,1082,1082,OGC Nice,Florian Jarjat,18/02/1980,Centre-Back,Retired,,free transfer,01/07/2010
1083,1083,1083,1083,OGC Nice,Jacques Abardonado,27/05/1978,Centre-Back,Retired,07/01/2014,-,18/11/2013
1084,1084,1084,1084,OGC Nice,Anthar Yahia,21/03/1982,Centre-Back,Retired,01/01/2017,free transfer,04/07/2016
