,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1167,1167,FC Sochaux-Montbéliard,Won-kwang Jo,08/23/1985,Central Midfield,Retired,,free transfer,07/01/2011
1168,1168,FC Sochaux-Montbéliard,Benjamin Genghini,12/16/1985,Central Midfield,AS Mutzig,07/01/2022,free transfer,07/01/2020
1169,1169,FC Sochaux-Montbéliard,Badara Sène,11/19/1984,Defensive Midfield,Retired,,?,07/01/2015
1170,1170,FC Sochaux-Montbéliard,Johann Lonfat,03/11/1973,Defensive Midfield,Retired,,free transfer,07/01/2007
1171,1171,FC Sochaux-Montbéliard,Fabien Boudarène,10/05/1978,Defensive Midfield,Retired,07/01/2012,free transfer,07/01/2011
1172,1172,FC Sochaux-Montbéliard,Guirane N'Daw,04/24/1984,Defensive Midfield,Retired,10/20/2016,free transfer,07/16/2015
1173,1173,FC Sochaux-Montbéliard,Romain Pitau,08/08/1977,Defensive Midfield,Retired,07/01/2013,free transfer,07/01/2009
1174,1174,FC Sochaux-Montbéliard,Jean Calvé,04/30/1984,Right-Back,FC Saint-Leu,07/19/2019,-,07/01/2018
1175,1175,FC Sochaux-Montbéliard,Omar Daf,02/12/1977,Right-Back,Retired,07/01/2013,free transfer,07/01/2012
1176,1176,FC Sochaux-Montbéliard,Ahmed Samir Farag,05/20/1986,Left-Back,Retired,07/28/2018,free transfer,08/02/2016
1177,1177,FC Sochaux-Montbéliard,Cédric Rey,08/25/1984,Left-Back,Unknown,,?,08/01/2007
1178,1178,FC Sochaux-Montbéliard,Lionel Potillon,02/10/1974,Left-Back,Retired,07/01/2007,€1.00m,08/01/2004
1179,1179,FC Sochaux-Montbéliard,Pape Sow,12/02/1985,Centre-Back,Retired,,-,01/21/2016
1180,1180,FC Sochaux-Montbéliard,Maxime Josse,03/21/1987,Centre-Back,Retired,,free transfer,01/01/2018
1181,1181,FC Sochaux-Montbéliard,Dusko Tosic,01/19/1985,Centre-Back,Retired,,free transfer,01/28/2021
1182,1182,FC Sochaux-Montbéliard,Arnaud Bühler,01/17/1985,Centre-Back,FC Bavois,07/01/2017,free transfer,07/01/2016
1183,1183,FC Sochaux-Montbéliard,Miranda,09/07/1984,Centre-Back,São Paulo,03/08/2021,free transfer,07/26/2019
1184,1184,FC Sochaux-Montbéliard,Rabiu Afolabi,04/18/1980,Centre-Back,Retired,07/01/2013,-,03/15/2013
1185,1185,FC Sochaux-Montbéliard,Souleymane Diawara,12/24/1978,Centre-Back,Retired,07/01/2015,free transfer,08/05/2014
1186,1186,FC Sochaux-Montbéliard,Jeremy Deichelbohrer,04/25/1986,Goalkeeper,Retired,,-,01/21/2013
1187,1187,FC Sochaux-Montbéliard,Alexandre Martinovic,05/31/1985,Goalkeeper,FC Porrentruy,07/01/2019,free transfer,08/14/2018
1188,1188,FC Sochaux-Montbéliard,Teddy Richert,09/21/1974,Goalkeeper,Retired,07/01/2012,?,07/01/2002
1189,1189,FC Nantes,Fouad Bouguerra,05/07/1981,Centre-Forward,Retired,,-,01/20/2013
1190,1190,FC Nantes,Claudiu Keseru,12/02/1986,Centre-Forward,UTA Arad,07/01/2022,free transfer,08/31/2021
1191,1191,FC Nantes,Julio Hernán Rossi,02/22/1977,Centre-Forward,Retired,07/01/2012,-,07/01/2011
1192,1192,FC Nantes,Grégory Pujol,01/25/1980,Centre-Forward,Saint-Amand,07/01/2019,-,07/01/2016
1193,1193,FC Nantes,Mamadou Diallo,04/17/1982,Centre-Forward,Retired,,free transfer,07/01/2017
1194,1194,FC Nantes,Habib Bamogo,05/08/1982,Second Striker,Retired,,-,05/01/2014
1195,1195,FC Nantes,Dennis Oliech,02/02/1985,Right Winger,Retired,01/21/2020,-,08/27/2019
1196,1196,FC Nantes,Luigi Glombard,08/21/1984,Right Winger,Retired,07/27/2017,free transfer,07/08/2015
1197,1197,FC Nantes,Frédéric Da Rocha,09/16/1974,Right Winger,Retired,07/01/2011,free transfer,07/01/2010
1198,1198,FC Nantes,Imed Mhadhebi,03/22/1976,Left Winger,Retired,,-,01/01/2008
1199,1199,FC Nantes,Aurélien Capoue,02/28/1982,Left Winger,Retired,12/10/2013,free transfer,07/01/2011
1200,1200,FC Nantes,Dimitri Payet,03/29/1987,Attacking Midfield,Marseille,01/30/2017,€15.00m,07/01/2015
1201,1201,FC Nantes,Olivier Quint,11/29/1971,Left Midfield,Retired,07/01/2006,?,07/01/2001
1202,1202,FC Nantes,Guillaume Norbert,10/14/1980,Right Midfield,Retired,,free transfer,07/01/2008
1203,1203,FC Nantes,Milos Dimitrijevic,02/16/1984,Central Midfield,Retired,,-,01/17/2014
1204,1204,FC Nantes,Emerse Faé,01/24/1984,Central Midfield,Retired,01/01/2012,€2.50m,01/01/2009
1205,1205,FC Nantes,William Vainqueur,11/19/1988,Defensive Midfield,Retired,,End of loan,06/30/2020
1206,1206,FC Nantes,Kévin Das Neves,05/08/1986,Defensive Midfield,Retired,07/01/2018,free transfer,08/26/2015
1207,1207,FC Nantes,Bocundji Ca,12/28/1986,Defensive Midfield,Retired,,-,07/01/2018
1208,1208,FC Nantes,Nicolas Savinaud,11/20/1975,Defensive Midfield,Retired,07/01/2009,free transfer,01/01/2009
1209,1209,FC Nantes,Gilles Yapi,01/30/1982,Defensive Midfield,Retired,07/01/2019,free transfer,07/20/2018
1210,1210,FC Nantes,David Leray,03/02/1984,Right-Back,Retired,07/01/2013,-,07/20/2012
1211,1211,FC Nantes,Franck Signorino,09/19/1981,Left-Back,Retired,07/01/2017,free transfer,07/01/2016
1212,1212,FC Nantes,Steven Thicot,02/14/1987,Centre-Back,Clyde FC,07/01/2022,-,01/01/2022
1213,1213,FC Nantes,Karim El Mourabet,04/30/1987,Centre-Back,Retired,,?,07/01/2014
1214,1214,FC Nantes,Jean-Jacques Pierre,01/23/1981,Centre-Back,Retired,07/01/2019,free transfer,07/01/2018
1215,1215,FC Nantes,Loïc Guillon,01/11/1982,Centre-Back,Retired,07/01/2018,free transfer,08/29/2016
1216,1216,FC Nantes,Pascal Delhommeau,08/14/1978,Centre-Back,Retired,07/01/2011,free transfer,07/01/2008
1217,1217,FC Nantes,Mauro Cetto,04/14/1982,Centre-Back,Retired,,free transfer,01/10/2016
1218,1218,FC Nantes,Perica Radic,03/13/1984,Goalkeeper,US Mandelieu,07/01/2017,-,07/01/2012
1219,1219,FC Nantes,Tony Heurtebis,01/15/1975,Goalkeeper,Retired,07/01/2010,free transfer,07/01/2005
1220,1220,FC Nantes,Mickaël Landreau,05/14/1979,Goalkeeper,Retired,07/01/2014,free transfer,12/23/2012
1221,1221,AS Saint-Étienne,Bafétimbi Gomis,08/06/1985,Centre-Forward,Galatasaray,02/02/2022,€6.00m,08/23/2018
1222,1222,AS Saint-Étienne,Sébastien Mazure,03/20/1979,Centre-Forward,Retired,07/01/2009,?,07/01/2006
1223,1223,AS Saint-Étienne,Hélder Postiga,08/02/1982,Centre-Forward,Retired,01/01/2017,free transfer,08/12/2016
1224,1224,AS Saint-Étienne,Frédéric Piquionne,12/08/1978,Centre-Forward,Retired,,free transfer,07/30/2015
1225,1225,AS Saint-Étienne,Pascal Feindouno,02/27/1981,Right Winger,Retired,,free transfer,04/18/2016
1226,1226,AS Saint-Étienne,Lamine Sakho,09/28/1977,Left Winger,Retired,07/01/2015,-,10/27/2014
1227,1227,AS Saint-Étienne,Frédéric Mendy,11/06/1981,Left Winger,Retired,07/01/2013,free transfer,01/31/2012
1228,1228,AS Saint-Étienne,Idriss Ech-Chergui,05/22/1985,Attacking Midfield,Hyères 83,08/01/2021,free transfer,07/01/2018
1229,1229,AS Saint-Étienne,Samy Houri,08/09/1985,Attacking Midfield,Montauban FC,07/01/2018,free transfer,07/01/2017
1230,1230,AS Saint-Étienne,Ignacio Piatti,02/04/1985,Attacking Midfield,Retired,01/01/2022,free transfer,02/19/2021
1231,1231,AS Saint-Étienne,Ousmane Sarr,08/02/1986,Left Midfield,Retired,,-,03/01/2012
1232,1232,AS Saint-Étienne,David Hellebuyck,05/12/1979,Central Midfield,Retired,07/01/2012,€800Th.,07/03/2007
1233,1233,AS Saint-Étienne,Julien Sablé,09/11/1980,Defensive Midfield,Retired,07/01/2014,-,10/09/2012
1234,1234,AS Saint-Étienne,Didier Zokora,12/14/1980,Defensive Midfield,Retired,,-,04/24/2017
1235,1235,AS Saint-Étienne,Mouhamadou Dabo,11/28/1986,Right-Back,Retired,07/01/2019,free transfer,07/01/2016
1236,1236,AS Saint-Étienne,Fousseni Diawara,08/28/1980,Right-Back,Retired,07/01/2015,free transfer,07/24/2013
1237,1237,AS Saint-Étienne,Abdelaziz Kamara,04/10/1984,Left-Back,Retired,,?,07/01/2011
1238,1238,AS Saint-Étienne,Siaka Tiéné,02/22/1982,Left-Back,Retired,,free transfer,07/01/2013
1239,1239,AS Saint-Étienne,Bruno Basto,05/21/1978,Left-Back,Retired,07/01/2009,?,01/01/2008
1240,1240,AS Saint-Étienne,Hérita Ilunga,02/25/1982,Left-Back,Retired,07/01/2016,free transfer,07/18/2014
1241,1241,AS Saint-Étienne,Damien Perquis,04/10/1984,Centre-Back,Retired,07/01/2019,free transfer,07/24/2017
1242,1242,AS Saint-Étienne,Alaeddine Yahia,09/26/1981,Centre-Back,Retired,07/01/2018,free transfer,08/15/2017
1243,1243,AS Saint-Étienne,Loïc Perrin,08/07/1985,Centre-Back,Retired,08/01/2020,-,07/01/2003
1244,1244,AS Saint-Étienne,Zoumana Camara,04/03/1979,Centre-Back,Retired,07/01/2015,€6.00m,07/24/2007
1245,1245,AS Saint-Étienne,Vincent Hognon,08/16/1974,Centre-Back,Retired,,free transfer,07/01/2007
1246,1246,AS Saint-Étienne,Alan Mermillod,10/05/1987,Goalkeeper,Beaucouzé,07/01/2022,-,07/01/2017
1247,1247,AS Saint-Étienne,Jessy Moulin,01/13/1986,Goalkeeper,Troyes,07/19/2021,End of loan,06/30/2012
1248,1248,AS Saint-Étienne,Jody Viviani,01/25/1982,Goalkeeper,Retired,,free transfer,07/01/2015
1249,1249,AS Saint-Étienne,Jérémie Janot,10/11/1977,Goalkeeper,Retired,10/24/2013,free transfer,08/02/2012
1250,1250,AJ Auxerre,Garra Dembélé,02/21/1986,Centre-Forward,Retired,,-,07/15/2016
1251,1251,AJ Auxerre,Romain Poyet,11/25/1980,Centre-Forward,Retired,07/01/2015,loan transfer,01/23/2014
1252,1252,AJ Auxerre,Benjani,08/13/1978,Centre-Forward,Retired,,free transfer,07/01/2013
1253,1253,AJ Auxerre,Luigi Pieroni,09/08/1980,Centre-Forward,Retired,08/01/2013,free transfer,07/18/2011
1254,1254,AJ Auxerre,Péguy Luyindula,05/25/1979,Centre-Forward,Retired,05/31/2015,-,03/19/2013
1255,1255,AJ Auxerre,Kanga Akalé,03/07/1981,Left Winger,Retired,07/01/2013,-,10/24/2012
1256,1256,AJ Auxerre,Irélé Apo,01/16/1987,Attacking Midfield,Retired,,-,07/01/2018
1257,1257,AJ Auxerre,Ludovic Genest,09/18/1987,Attacking Midfield,Retired,,free transfer,01/15/2018
1258,1258,AJ Auxerre,Yann Lachuer,08/05/1972,Attacking Midfield,Retired,06/10/2009,-,12/19/2008
1259,1259,AJ Auxerre,Kevin Lejeune,01/22/1985,Left Midfield,Retired,07/01/2020,?,08/31/2017
1260,1260,AJ Auxerre,Krisztián Vadócz,05/03/1985,Central Midfield,Central,07/08/2022,-,08/27/2021
1261,1261,AJ Auxerre,Abou Diaby,05/11/1986,Central Midfield,Retired,02/26/2019,-,07/01/2017
1262,1262,AJ Auxerre,Thomas Kahlenberg,03/20/1983,Central Midfield,Retired,07/01/2017,free transfer,08/21/2013
1263,1263,AJ Auxerre,Philippe Violeau,09/19/1970,Defensive Midfield,Retired,07/04/2006,€400Th.,08/29/2003
1264,1264,AJ Auxerre,Lionel Mathis,10/04/1981,Defensive Midfield,Retired,07/01/2017,free transfer,07/01/2016
1265,1265,AJ Auxerre,Mathieu Berson,02/23/1980,Defensive Midfield,Retired,07/01/2013,-,07/01/2011
1266,1266,AJ Auxerre,Benoît Cheyrou,05/03/1981,Defensive Midfield,Retired,01/01/2018,-,01/29/2015
1267,1267,AJ Auxerre,Johan Radet,11/24/1976,Right-Back,Retired,07/01/2007,-,07/01/1996
1268,1268,AJ Auxerre,Bacary Sagna,02/14/1983,Right-Back,Retired,01/01/2020,free transfer,08/08/2018
1269,1269,AJ Auxerre,Pierre Vignaud,03/10/1983,Left-Back,Grand-Quevilly,07/01/2019,free transfer,07/10/2015
1270,1270,AJ Auxerre,Jean-Sébastien Jaurès,09/30/1977,Left-Back,Retired,07/01/2011,free transfer,07/01/2008
1271,1271,AJ Auxerre,Guillaume Lecacheur,08/02/1982,Centre-Back,Retired,,free transfer,07/01/2011
1272,1272,AJ Auxerre,Aurélien Chedjou,06/20/1985,Centre-Back,Retired,05/03/2022,-,01/14/2021
1273,1273,AJ Auxerre,Mamoutou Coulibaly,02/23/1984,Centre-Back,Retired,,-,03/27/2017
1274,1274,AJ Auxerre,Younès Kaboul,01/04/1986,Centre-Back,Retired,01/01/2019,€4.00m,08/19/2016
1275,1275,AJ Auxerre,Baptiste Martin,05/14/1985,Centre-Back,CS Volvic,07/01/2017,free transfer,07/01/2014
1276,1276,AJ Auxerre,Oumar Kalabane,04/08/1981,Centre-Back,Retired,01/01/2014,?,07/19/2013
1277,1277,AJ Auxerre,Rene Bolf,02/25/1974,Centre-Back,Retired,12/04/2012,free transfer,07/01/2011
1278,1278,AJ Auxerre,Stéphane Grichting,03/30/1979,Centre-Back,Retired,07/01/2015,free transfer,07/01/2012
1279,1279,AJ Auxerre,Jean-Pascal Mignot,02/26/1981,Centre-Back,Retired,07/01/2016,free transfer,07/01/2014
1280,1280,AJ Auxerre,Benoît Tardieu,01/21/1986,Goalkeeper,Saint-Georges,07/01/2012,free transfer,07/01/2009
1281,1281,AJ Auxerre,Baptiste Chabert,04/07/1983,Goalkeeper,Retired,07/01/2013,free transfer,07/01/2006
1282,1282,AJ Auxerre,Sébastien Hamel,11/20/1975,Goalkeeper,Retired,07/01/2009,free transfer,07/01/2008
1283,1283,AJ Auxerre,Fabien Cool,08/30/1972,Goalkeeper,Retired,07/01/2007,End of loan,06/01/1994
1284,1284,RC Lens,Issam Jemâa,01/28/1984,Centre-Forward,St-Estève,08/01/2021,-,07/01/2017
1285,1285,RC Lens,Pierre-Alain Frau,04/15/1980,Centre-Forward,Retired,10/01/2014,-,07/01/2014
1286,1286,RC Lens,Daniel Cousin,02/07/1977,Centre-Forward,Retired,,-,10/01/2011
1287,1287,RC Lens,Aruna Dindane,11/26/1980,Second Striker,Retired,07/01/2014,-,03/27/2013
1288,1288,RC Lens,Jimmy Kébé,01/19/1984,Right Winger,Retired,01/23/2015,End of loan,05/31/2014
1289,1289,RC Lens,Seïd Khiter,01/19/1985,Right Winger,Without Club,07/01/2021,free transfer,07/01/2019
1290,1290,RC Lens,Simon Feindouno,08/15/1985,Attacking Midfield,Retired,,-,10/01/2018
1291,1291,RC Lens,Éric Carrière,05/24/1973,Attacking Midfield,Retired,,free transfer,07/01/2008
1292,1292,RC Lens,Jérôme Leroy,11/04/1974,Attacking Midfield,Retired,,free transfer,01/31/2015
1293,1293,RC Lens,Jussiê,09/19/1983,Attacking Midfield,Retired,07/01/2017,-,02/01/2017
1294,1294,RC Lens,Olivier Thomert,05/28/1980,Left Midfield,Claye-Souilly,07/01/2019,-,07/01/2013
1295,1295,RC Lens,Jonathan Lacourt,08/17/1986,Central Midfield,FC Marssac,01/08/2018,-,07/01/2017
1296,1296,RC Lens,Seydou Keita,01/16/1980,Central Midfield,Retired,,free transfer,08/19/2016
1297,1297,RC Lens,Alou Diarra,07/15/1981,Defensive Midfield,Retired,07/01/2017,free transfer,09/01/2016
1298,1298,RC Lens,Jonathan Martins Pereira,01/30/1986,Right-Back,Retired,07/01/2020,free transfer,07/01/2018
1299,1299,RC Lens,Patrick Barul,10/03/1977,Right-Back,Retired,07/01/2011,-,12/01/2009
1300,1300,RC Lens,Yohan Demont,05/15/1978,Right-Back,Retired,07/01/2013,free transfer,07/01/2005
1301,1301,RC Lens,Benoît Assou-Ekotto,03/24/1984,Left-Back,Retired,07/01/2018,free transfer,08/16/2016
1302,1302,RC Lens,Kamil Zayatte,03/07/1985,Centre-Back,Retired,01/01/2016,free transfer,07/25/2015
1303,1303,RC Lens,Guillermo Rodríguez,03/21/1984,Centre-Back,Sud America,02/12/2022,-,10/18/2021
1304,1304,RC Lens,Yoann Lachor,01/17/1976,Centre-Back,Retired,12/01/2011,free transfer,07/01/2008
1305,1305,RC Lens,Nicolas Gillet,11/08/1976,Centre-Back,Retired,07/01/2012,free transfer,07/01/2010
1306,1306,RC Lens,Jacek Bak,03/24/1973,Centre-Back,Retired,01/01/2012,-,07/01/2011
1307,1307,RC Lens,Adama Coulibaly,09/10/1980,Centre-Back,Retired,07/01/2015,free transfer,07/22/2014
1308,1308,RC Lens,Hilton,09/13/1977,Centre-Back,Retired,07/01/2022,-,02/01/2022
1309,1309,RC Lens,Arnaud Brocard,08/19/1986,Goalkeeper,Without Club,,-,07/05/2013
1310,1310,RC Lens,Sébastien Chabbert,05/15/1978,Goalkeeper,Retired,,free transfer,07/01/2010
1311,1311,RC Lens,Charles Itandje,11/02/1982,Goalkeeper,Retired,07/01/2019,-,08/24/2018
1312,1312,FC Girondins Bordeaux,Madimoussa Traoré,06/11/1986,Centre-Forward,EF Bastia,08/02/2016,free transfer,07/01/2015
1313,1313,FC Girondins Bordeaux,Laurent Leroy,04/16/1976,Centre-Forward,Retired,07/01/2011,free transfer,07/01/2009
1314,1314,FC Girondins Bordeaux,Edixon Perea,04/20/1984,Centre-Forward,Retired,,free transfer,01/01/2014
1315,1315,FC Girondins Bordeaux,Lilian Laslandes,09/04/1971,Centre-Forward,Retired,07/01/2008,?,01/04/2007
1316,1316,FC Girondins Bordeaux,Jean-Claude Darcheville,07/25/1975,Centre-Forward,Retired,07/01/2014,free transfer,07/01/2012
1317,1317,FC Girondins Bordeaux,Marouane Chamakh,01/10/1984,Centre-Forward,Retired,05/26/2019,-,12/29/2016
1318,1318,FC Girondins Bordeaux,Floyd Ayité,12/15/1988,Left Winger,Valenciennes FC,08/04/2021,?,09/02/2019
1319,1319,FC Girondins Bordeaux,Denílson,08/24/1977,Left Winger,Retired,03/24/2022,-,03/23/2022
1320,1320,FC Girondins Bordeaux,Juan Pablo Francia,12/03/1984,Attacking Midfield,Retired,07/01/2021,?,01/01/2016
1321,1321,FC Girondins Bordeaux,Vladimir Smicer,05/24/1973,Attacking Midfield,Retired,11/01/2009,free transfer,07/01/2007
1322,1322,FC Girondins Bordeaux,Alejandro Alonso,03/03/1982,Right Midfield,Retired,01/13/2013,€200Th.,01/31/2011
1323,1323,FC Girondins Bordeaux,Bruno Cheyrou,05/10/1978,Central Midfield,Retired,,-,02/06/2015
1324,1324,FC Girondins Bordeaux,Pierre Ducasse,05/07/1987,Defensive Midfield,Lège Cap-Ferret,07/01/2020,free transfer,07/04/2017
1325,1325,FC Girondins Bordeaux,Fernando,05/03/1981,Defensive Midfield,Retired,01/01/2015,free transfer,07/01/2014
1326,1326,FC Girondins Bordeaux,Rio Mavuba,03/08/1984,Defensive Midfield,Retired,07/01/2019,free transfer,09/14/2018
1327,1327,FC Girondins Bordeaux,Ted Lavie,03/19/1986,Right-Back,FC Libourne,07/01/2020,free transfer,07/01/2018
1328,1328,FC Girondins Bordeaux,David Jemmali,12/13/1974,Right-Back,Retired,07/06/2011,free transfer,07/29/2008
1329,1329,FC Girondins Bordeaux,Julien Faubert,08/01/1983,Right-Back,Retired,12/22/2019,-,07/01/2019
1330,1330,FC Girondins Bordeaux,Florian Marange,03/03/1986,Left-Back,Retired,10/15/2018,-,07/01/2017
1331,1331,FC Girondins Bordeaux,Franck Jurietti,03/30/1975,Left-Back,Retired,07/01/2010,free transfer,07/31/2003
1332,1332,FC Girondins Bordeaux,Paul Baysse,05/18/1988,Centre-Back,Retired,,End of loan,06/30/2019
1333,1333,FC Girondins Bordeaux,Romain Brégerie,08/09/1986,Centre-Back,Retired,,-,07/01/2019
1334,1334,FC Girondins Bordeaux,Kodjo Afanou,11/21/1977,Centre-Back,Retired,01/01/2008,-,01/01/2007
1335,1335,FC Girondins Bordeaux,Henrique,05/02/1983,Centre-Back,Retired,01/01/2017,-,08/25/2016
1336,1336,FC Girondins Bordeaux,Beto,05/03/1976,Centre-Back,Retired,07/01/2011,-,02/01/2011
1337,1337,FC Girondins Bordeaux,Marc Planus,03/07/1982,Centre-Back,Retired,07/01/2015,-,07/01/2002
1338,1338,FC Girondins Bordeaux,Mathieu Valverde,05/14/1983,Goalkeeper,Retired,,End of loan,05/31/2015
1339,1339,FC Girondins Bordeaux,Frédéric Roux,06/27/1973,Goalkeeper,Retired,,free transfer,08/01/2007
1340,1340,FC Girondins Bordeaux,Ulrich Ramé,09/19/1972,Goalkeeper,Retired,07/01/2013,free transfer,07/01/2011
1341,1341,LOSC Lille,Chris Makiese,10/14/1987,Centre-Forward,Retired,,free transfer,07/01/2014
1342,1342,LOSC Lille,Nicolas Fauvergue,10/13/1984,Centre-Forward,Retired,07/01/2016,free transfer,08/31/2015
1343,1343,LOSC Lille,Matt Moussilou,06/01/1982,Centre-Forward,Retired,07/01/2021,free transfer,07/01/2017
1344,1344,LOSC Lille,Larsen Touré,07/20/1984,Right Winger,Retired,,free transfer,01/11/2019
1345,1345,LOSC Lille,Kevin Mirallas,10/05/1987,Right Winger,AEL Limassol,07/23/2022,-,01/24/2022
1346,1346,LOSC Lille,Abdul Kader Keita,08/06/1981,Right Winger,Retired,,free transfer,02/17/2015
1347,1347,LOSC Lille,Peter Odemwingie,07/15/1981,Right Winger,Retired,,-,07/18/2018
1348,1348,LOSC Lille,Hicham Aboucherouane,04/02/1981,Left Winger,Retired,,€700Th.,07/01/2011
1349,1349,LOSC Lille,Geoffrey Dernis,12/24/1980,Left Winger,Retired,,free transfer,07/11/2019
1350,1350,LOSC Lille,Samuel Robail,06/02/1985,Attacking Midfield,IC de Croix,07/01/2013,-,07/01/2009
1351,1351,LOSC Lille,Daniel Gygax,08/28/1981,Attacking Midfield,Retired,,free transfer,07/01/2016
1352,1352,LOSC Lille,Kévin Barralon,06/24/1982,Left Midfield,Retired,,?,07/01/2014
1353,1353,LOSC Lille,Mathieu Robail,06/02/1985,Left Midfield,Retired,,free transfer,07/01/2019
1354,1354,LOSC Lille,Milenko Acimovic,02/15/1977,Left Midfield,Retired,09/14/2010,free transfer,01/31/2007
1355,1355,LOSC Lille,Yohan Cabaye,01/14/1986,Central Midfield,Retired,02/19/2021,-,07/01/2020
1356,1356,LOSC Lille,Flavien Le Postollec,02/19/1984,Defensive Midfield,Retired,,free transfer,08/01/2018
1357,1357,LOSC Lille,Stéphane Dumont,09/06/1982,Defensive Midfield,Retired,07/15/2013,free transfer,07/18/2011
1358,1358,LOSC Lille,Jean II Makoun,05/29/1983,Defensive Midfield,Retired,07/01/2020,-,09/27/2018
1359,1359,LOSC Lille,Mathieu Bodmer,11/22/1982,Defensive Midfield,Retired,07/01/2020,free transfer,07/01/2017
1360,1360,LOSC Lille,Matthieu Chalmé,10/07/1980,Right-Back,Retired,,-,01/12/2015
1361,1361,LOSC Lille,Stephan Lichtsteiner,01/16/1984,Right-Back,Retired,08/12/2020,free transfer,08/19/2019
1362,1362,LOSC Lille,Grégory Tafforeau,09/29/1976,Left-Back,Retired,12/01/2011,free transfer,07/01/2009
1363,1363,LOSC Lille,Dante,10/18/1983,Centre-Back,OGC Nice,08/23/2016,€4.50m,08/30/2015
1364,1364,LOSC Lille,Peter Franquart,05/04/1985,Centre-Back,Retired,,free transfer,07/19/2015
1365,1365,LOSC Lille,Milivoje Vitakic,05/16/1977,Centre-Back,Retired,,free transfer,07/01/2007
1366,1366,LOSC Lille,Nicolas Plestan,06/02/1981,Centre-Back,Retired,07/01/2011,free transfer,08/01/2010
1367,1367,LOSC Lille,Mathieu Debuchy,07/28/1985,Centre-Back,Valenciennes FC,08/13/2021,free transfer,01/31/2018
1368,1368,LOSC Lille,Stathis Tavlaridis,01/25/1980,Centre-Back,Retired,07/01/2017,free transfer,01/31/2017
1369,1369,LOSC Lille,Rafael,12/17/1980,Centre-Back,Retired,05/01/2013,End of loan,11/01/2012
1370,1370,LOSC Lille,Yohann Lacroix,02/01/1985,Goalkeeper,Unknown,,free transfer,07/12/2014
1371,1371,LOSC Lille,Laurent Pichon,03/08/1981,Goalkeeper,Retired,07/01/2010,-,07/01/2008
1372,1372,LOSC Lille,Grégory Malicki,11/23/1973,Goalkeeper,Retired,07/01/2014,free transfer,07/01/2010
1373,1373,LOSC Lille,Tony Sylva,05/17/1975,Goalkeeper,Retired,07/01/2010,€600Th.,07/01/2008
1374,1374,Stade Rennais FC,Moussa Sow,01/19/1986,Centre-Forward,Without Club,07/01/2021,-,08/28/2020
1375,1375,Stade Rennais FC,Jimmy Briand,08/02/1985,Centre-Forward,Retired,09/07/2022,-,07/01/2022
1376,1376,Stade Rennais FC,Youssouf Hadji,02/25/1980,Centre-Forward,Retired,07/01/2018,-,07/01/2014
1377,1377,Stade Rennais FC,Alex Frei,07/15/1979,Centre-Forward,Retired,04/14/2013,€4.25m,07/18/2009
1378,1378,Stade Rennais FC,Stéphane N'Guéma,11/20/1984,Right Winger,Retired,07/01/2017,?,01/01/2015
1379,1379,Stade Rennais FC,Cédric Barbosa,03/06/1976,Left Winger,Retired,07/01/2019,free transfer,09/25/2018
1380,1380,Stade Rennais FC,Olivier Monterrubio,08/08/1976,Left Winger,Retired,07/01/2011,free transfer,07/01/2009
1381,1381,Stade Rennais FC,John Utaka,01/08/1982,Left Winger,Retired,,-,07/01/2019
1382,1382,Stade Rennais FC,Yoann Gourcuff,07/11/1986,Attacking Midfield,Retired,,free transfer,07/20/2018
1383,1383,Stade Rennais FC,Étienne Didot,07/24/1983,Central Midfield,Retired,07/01/2019,?,07/01/2016
1384,1384,Stade Rennais FC,Kim Källström,08/24/1982,Central Midfield,Retired,12/15/2017,free transfer,02/10/2017
1385,1385,Stade Rennais FC,Pape Diop,03/19/1986,Defensive Midfield,UD Ibiza,08/20/2021,free transfer,01/01/2018
1386,1386,Stade Rennais FC,Jonathan Bru,05/02/1985,Defensive Midfield,Retired,07/01/2016,-,02/02/2016
1387,1387,Stade Rennais FC,Arnold Mvuemba,01/28/1985,Defensive Midfield,Without Club,07/01/2020,-,11/07/2019
1388,1388,Stade Rennais FC,Cyril Jeunechamp,12/18/1975,Defensive Midfield,Retired,,-,01/02/2014
1389,1389,Stade Rennais FC,Stéphane Mbia,05/20/1986,Defensive Midfield,Without Club,04/25/2022,free transfer,02/02/2022
1390,1390,Stade Rennais FC,Olivier Sorlin,04/09/1979,Defensive Midfield,Retired,,free transfer,07/10/2018
1391,1391,Stade Rennais FC,Guillaume Borne,02/12/1988,Right-Back,Retired,,free transfer,10/03/2012
1392,1392,Stade Rennais FC,Jean-Joël Perrier-Doumbé,09/27/1978,Right-Back,Retired,,-,10/01/2009
1393,1393,Stade Rennais FC,Laszlo Sepsi,06/07/1987,Left-Back,Retired,,free transfer,08/28/2018
1394,1394,Stade Rennais FC,Jure Primorac,12/10/1981,Left-Back,Retired,,free transfer,07/01/2006
1395,1395,Stade Rennais FC,Erik Edman,11/11/1978,Left-Back,Retired,,free transfer,02/01/2010
1396,1396,Stade Rennais FC,Olivier N’Siabamfumu,03/17/1986,Centre-Back,Retired,,-,03/11/2013
1397,1397,Stade Rennais FC,Amadou Coulibaly,12/31/1984,Centre-Back,Retired,,?,07/01/2012
1398,1398,Stade Rennais FC,Alain Rochat,02/01/1983,Centre-Back,Retired,07/01/2018,?,07/01/2017
