playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Vladimir Korytko,Attacking Midfield,Retired,free transfer,38,2,7,30,29,1
Vyacheslav Serdyuk,Centre-Back,Retired,free transfer,31,1,5,20,33,0
Vitaliy Lysytskyi,Centre-Back,Retired,free transfer,35,1,28,12,25,0
Bobô,Centre-Forward,Retired,free transfer,37,1,24,23,19,1
Sergen Yalcin,Attacking Midfield,Retired,free transfer,36,1,1,1,27,7
Tümer Metin,Attacking Midfield,Retired,free transfer,38,1,6,30,28,0
Okan Buruk,Right Midfield,Retired,free transfer,37,2,13,18,8,2
Mert Nobre,Centre-Forward,Retired,free transfer,39,1,26,31,30,0
Nicolas Anelka,Centre-Forward,Retired,free transfer,37,1,6,19,3,3
Tuncay Sanli,Left Winger,Retired,free transfer,34,1,16,31,26,0
Alex,Attacking Midfield,Retired,free transfer,38,3,26,40,36,3
Selcuk Sahin,Defensive Midfield,Retired,free transfer,39,1,20,29,27,1
Ümit Özat,Left-Back,Retired,free transfer,33,2,4,33,39,2
Sergiy Matyukhin,Centre-Back,Retired,free transfer,32,1,2,23,13,0
Bogdan Shershun,Centre-Back,Retired,free transfer,33,1,10,34,26,2
Igor Gjuzelov,Centre-Back,Retired,free transfer,35,5,2,26,20,0
Boban Grncarov,Centre-Back,Retired,free transfer,36,4,32,29,28,1
Arsene Né,Centre-Back,Retired,free transfer,31,2,11,12,12,1
Elvin Beqiri,Centre-Back,Retired,free transfer,35,3,32,24,24,2
Vladimir Disljenkovic,Goalkeeper,Retired,free transfer,34,5,9,17,7,2
Maksim Shatskikh,Centre-Forward,Retired,free transfer,38,1,21,22,29,0
Diogo Rincón,Attacking Midfield,Retired,free transfer,33,1,3,29,19,0
Florin Cernat,Attacking Midfield,Retired,free transfer,38,2,27,38,20,2
Oleg Gusev,Right Midfield,Retired,free transfer,35,1,4,7,30,0
Mariusz Lewandowski,Defensive Midfield,Retired,free transfer,34,3,16,33,7,1
Anatoliy Tymoshchuk,Defensive Midfield,Retired,free transfer,38,2,4,30,31,0
Flavius Stoican,Right-Back,Retired,free transfer,32,1,8,1,17,0
Darijo Srna,Right-Back,Retired,free transfer,37,1,28,10,34,1
Vyacheslav Shevchuk,Left-Back,Retired,free transfer,38,12,14,27,27,1
Dmytro Shutkov,Goalkeeper,Retired,free transfer,36,17,2,13,15,0
Badr El Kaddouri,Left-Back,Retired,free transfer,32,1,9,12,26,1
Andriy Nesmachnyi,Left-Back,Retired,free transfer,32,12,4,14,36,1
Andriy Kuraev,Goalkeeper,Retired,free transfer,33,1,2,8,21,0
Yuriy Nikitenko,Goalkeeper,Retired,free transfer,35,2,3,1,6,0
Ilya Blyznyuk,Goalkeeper,Retired,free transfer,35,1,1,13,17,0
Vasyl Tovkatskyi,Centre-Forward,Retired,free transfer,33,2,11,10,26,0
Roman Maksymyuk,Left Midfield,Retired,free transfer,38,2,5,17,25,0
Vadym Zayats,midfield,Retired,free transfer,35,3,8,6,21,0
Andriy Sapuga,Right-Back,Retired,free transfer,33,1,1,17,21,0
Denys Golaydo,Left-Back,Retired,free transfer,33,2,1,18,30,1
Oleksandr Antonyuk,Left-Back,Retired,free transfer,39,2,7,33,31,0
Igor Chuchman,Centre-Back,Retired,free transfer,30,2,13,16,25,0
Taras Mykhalyk,Centre-Back,Retired,free transfer,38,1,3,13,28,2
